morphemes	target	prediction	morphemes_predseg	prediction_predseg
eli_na_u_bu_nkunkqele	RelConc5_AdvPre_NPrePre14_BPre14_NStem	RelConc5_CopPre_NPrePre14_BPre14_NStem	eli_na_u_bu_n_ku_nkqele	RelConc5_AdvPre_NPrePre14_BPre14_BPre9_NStem_NStem
,	Punc	Punc	,	Punc
ukuba	Conj	Conj	ukuba	Conj
kufuphi	Adv	Adv	kufuphi	Adv
ku_u_(lu)_shishino	LocPre_NPrePre11_BPre11_NStem	LocPre_NPrePre11_BPre11_NStem	ku_u_(lu)_shishino	LocPre_NPrePre11_BPre11_NStem
lwa_s_e_Afrika	PossConc11_PreLoc-s_LocPre_ProperName	PossConc11_PreLoc-s_LocPre_ProperName	lwa_s_e_afrika	PossConc11_PreLoc-s_LocPre_ProperName
olu_khul_a	RelConc11_VRoot_VerbTerm	RelConc11_VRoot_VerbTerm	olu_khul_a	RelConc11_VRoot_VerbTerm
nga_u_ku_khawulez_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	nga_u_ku_khawulez_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
,	Punc	Punc	,	Punc
u_bu_lunga	NPrePre14_BPre14_NStem	NPrePre14_BPre14_NStem	u_bu_lunga	NPrePre14_BPre14_NStem
obu_phezulu	RelConc14_Adv	RelConc14_Adv	obu_phezulu	RelConc14_Adv
ku_i_(z)i_yunivesithi	LocPre_NPrePre10_BPre10_NStem	LocPre_NPrePre10_BPre10_NStem	ku_i_(z)i_yunivesithi	LocPre_NPrePre10_BPre10_NStem
na_i_(li)_candelo	AdvPre_NPrePre5_BPre5_NStem	AdvPre_NPrePre5_BPre5_NStem	na_i_(li)_candelo	AdvPre_NPrePre5_BPre5_NStem
la_e_za_u_(lu)_limo	PossConc5_RelConc9_PossConc8_NPrePre11_BPre11_NStem	PossConc5_RelConc8_PossConc8_NPrePre11_BPre11_NStem	la_e_za_u_(lu)_limo	PossConc5_RelConc8_PossConc8_NPrePre11_BPre11_NStem
la_nga_oku	PossConc5_AdvPre_Dem15_Pos1	PossConc5_AdvPre_Dem15	la_nga_oku	PossConc5_AdvPre_Dem15
,	Punc	Punc	,	Punc
eli_na_i_m_veliso	RelConc5_AdvPre_NPrePre9_BPre9_NStem	RelConc5_AdvPre_NPrePre9_BPre9_NStem	eli_na_i_m_veliso	RelConc5_AdvPre_NPrePre9_BPre9_NStem
.	Punc	Punc	.	Punc
u_Mzantsi	NPrePre3_ProperName	NPrePre3_ProperName	u_mzantsi	NPrePre3_RelStem
Afrika	ProperName	ProperName	afrika	NegPre
u_kwa_na_i_(z)in_kampani	CopPre_AdvPre_CopPre_NPrePre10_BPre10_NStem	CopPre_AdvPre_CopPre_NPrePre10_BPre10_NStem	u_kwa_na_i_(z)in_kampani	CopPre_AdvPre_CopPre_NPrePre10_BPre10_NStem
ezi_z_i_(z)in_kokheli	RelConc10_CopPre_NPrePre10_BPre10_NStem	RelConc10_CopPre_NPrePre10_BPre10_NStem	ezi_z_i_(z)in_kokheli	RelConc10_CopPre_NPrePre10_BPre10_NStem
e_i_(li)_hlabathi_ini	LocPre_NPrePre5_BPre5_NStem_LocSuf	LocPre_NPrePre5_BPre5_NStem_LocSuf	e_i_(li)_hlabathi_ini	LocPre_NPrePre5_BPre5_NStem_LocSuf
ku_a_ma_candelo	LocPre_NPrePre6_BPre6_NStem	LocPre_NPrePre6_BPre6_NStem	ku_a_ma_candelo	LocPre_NPrePre6_BPre6_NStem
a_fan_a	SC6_VRoot_VerbTerm	SC6_VRoot_VerbTerm	a_fan_a	SC6_VRoot_VerbTerm
na_u_ku_akh_iw_a	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	na_u_ku_akh_iw_a	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm
kwa_i_(z)in_dlela	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre10_BPre10_NStem	kwa_i_(z)in_dlela	PossConc15_NPrePre10_BPre10_NStem
.	Punc	Punc	.	Punc
u_lu_azi	NPrePre11_BPre11_NStem	NPrePre11_BPre11_NStem	u_lu_azi	NPrePre11_BPre11_NStem
-	Punc	Punc	-	Punc
u_m_zekelo	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	u_m_zekelo	NPrePre3_BPre3_NStem
,	Punc	Punc	,	Punc
i_bhunga	NPrePre5_NStem	NPrePre5_NStem	i_(li)_bhunga	NPrePre5_BPre5_NStem
la_i_n_gingqi	PossConc5_NPrePre9_BPre9_NStem	PossConc5_NPrePre9_BPre9_NStem	la_i_n_gingqi	PossConc5_NPrePre9_BPre9_NStem
li_nga_nga_yi_enz_i	SC5_Pot_NegPre_OC9_VRoot_VerbTerm	SC5_Pot_NegPre_OC9_VRoot_VerbTerm	li_nga_nga_yi_enz_i	SC5_Pot_NegPre_OC9_VRoot_VerbTerm
i_mi_zuzu	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem	i_mi_zuzu	NPrePre4_BPre4_NStem
okanye	Conj	Conj	okanye	Conj
u_hlahlo	NPrePre11_NStem	NPrePre11_NStem	u_hlahlo	NPrePre11_NStem
lu_abiwo_mali	BPre11_NStem_NStem	BPre11_NStem_NStem	lu_abiwo_mali	BPre11_NStem_NStem
okanye	Conj	Conj	okanye	Conj
i_(z)in_gxelo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_gxelo	NPrePre10_BPre10_NStem
za_i_mali	PossConc10_NPrePre9_NStem	PossConc10_NPrePre9_NStem	za_i_mali	PossConc10_NPrePre9_NStem
kunye	Conj	Conj	kunye	Conj
na_ama_nye	AdvPre_AdjPref6_AdjStem	AdvPre_AdjPref6_AdjStem	na_ama_nye	AdvPre_AdjPref6_AdjStem
a_ma_xwebhu	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_xwebhu	NPrePre6_BPre6_NStem
a_fuman_ek_e	RelConc6_VRoot_NeutExt_VerbTerm	SC6_VRoot_NeutExt_VerbTerm	a_fuman_ek_e	SC6_VRoot_NeutExt_VerbTerm
ku_u_lu_ntu	LocPre_NPrePre11_BPre11_NStem	LocPre_NPrePre11_BPre11_NStem	ku_u_lu_ntu	LocPre_NPrePre11_BPre11_NStem
jikelele	Adv	Adv	jikelele	Adv
.	Punc	Punc	.	Punc
u_lu_ntu	NPrePre11_BPre11_NStem	NPrePre11_BPre11_NStem	u_lu_ntu	NPrePre11_BPre11_NStem
ke_nga_oko	Conj_AdvPre_Dem15_Pos2	Conj_AdvPre_Dem15	ke_nga_oko	Conj_AdvPre_Dem15
a_lu_ku_az_i	NegPre_SC11_BPre14_VRoot_VerbTerm	NegPre_SC11_BPre15_VRoot_VerbTerm	a_lu_ku_az_i	NegPre_SC11_BPre15_VRoot_VerbTerm
u_ku_enz_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_enz_a	NPrePre15_BPre15_VRoot_VerbTerm
i_zi_gqibo	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_gqibo	NPrePre8_BPre8_NStem
malunga	Adv	Adv	malunga	Adv
na_u_ncediso	AdvPre_NPrePre11_NStem	AdvPre_NPrePre11_NStem	na_u_lu_ncediso	AdvPre_NPrePre11_BPre11_NStem
lwa_e_za_i_mali	PossConc11_RelConc8_PossConc8_NPrePre9_NStem	PossConc11_RelConc9_PossConc8_NPrePre9_NStem	lwa_e_za_i_mali	PossConc11_RelConc9_PossConc8_NPrePre9_NStem
olu_kho_yo	RelConc11_Adv_RelSuf	RelConc11_Adv_RelSuf	olu_kho_yo	RelConc11_Adv_RelSuf
e_u_ku_akh_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_u_ku_akh_a_ini	LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
i_klinikhi	NPrePre9_NStem	NPrePre9_NStem	i_klinikhi	NPrePre9_NStem
okanye	Conj	Conj	okanye	Conj
i_si_kolo	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_kolo	NPrePre7_BPre7_NStem
.	Punc	Punc	.	Punc
xa	Conj	Conj	xa	Conj
lu_cebis_a	BPre11_VRoot_VerbTerm	SC11_VRoot_VerbTerm	lu_cebis_a	SC11_VRoot_VerbTerm
nga_oku_th_ile	AdvPre_RelConc15_VRoot_Perf	AdvPre_RelConc15_VRoot_Perf	nga_oku_th_ile	AdvPre_RelConc15_VRoot_Perf
,	Punc	Punc	,	Punc
ba_xelel_w_a	SC2_VRoot_PassExt_VerbTerm	SC2_VRoot_PassExt_VerbTerm	ba_xelel_w_a	SC2_VRoot_PassExt_VerbTerm
ukuba	Conj	Conj	ukuba	Conj
a_ku_kho	NegPre_CopPre_Adv	NegPre_CopPre_Adv	a_ku_kho	NegPre_CopPre_Adv
mali	NStem	NStem	mali	NStem
e_kho_yo	RelConc9_Adv_RelSuf	RelConc9_Adv_RelSuf	e_kho_yo	RelConc9_Adv_RelSuf
kwaye	Conj	Conj	kwaye	Conj
a_ba_ku_az_i	NegPre_SC2_BPre15_VRoot_VerbTerm	NegPre_SC2_OC15_VRoot_VerbTerm	a_ba_ku_az_i	NegPre_SC2_OC15_VRoot_VerbTerm
ku_ku_lw_a	SC15_BPre15_VRoot_VerbTerm	SC15_BPre15_VRoot_VerbTerm	ku_ku_lw_a	SC15_BPre15_VRoot_VerbTerm
oko	Dem15_Pos2	Dem15	oko	Dem15
njenga_oko	AdvPre_Dem15_Pos2	AdvPre_Dem15	njenga_oko	AdvPre_Dem15
be_nga_ku_az_i	SC2_NegPre_BPre15_VRoot_VerbTerm	SC2_NegPre_BPre15_VRoot_VerbTerm	be_nga_ku_az_i	SC2_NegPre_BPre15_VRoot_VerbTerm
u_ku_fikelel_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_fikelel_a	NPrePre15_BPre15_VRoot_VerbTerm
ku_lu_az_i	LocPre_BPre11_VRoot_VerbTerm	LocPre_BPre11_VRoot_VerbTerm	ku_lu_az_i	LocPre_BPre11_VRoot_VerbTerm
olu_chan_ek_il_e_yo	RelConc11_VRoot_NeutExt_Perf_VerbTerm_RelSuf	RelConc11_VRoot_NeutExt_Perf_VerbTerm_RelSuf	olu_chan_ek_il_e_yo	RelConc11_VRoot_NeutExt_Perf_VerbTerm_RelSuf
.	Punc	Punc	.	Punc
thath_a	VRoot_VerbTerm	VRoot_VerbTerm	thath_a	VRoot_VerbTerm
i_(z)im_pendulo	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)im_pendulo	NPrePre10_BPre10_NStem
ku_i_(li)_qela	LocPre_NPrePre5_BPre5_NStem	LocPre_NPrePre5_BPre5_NStem	ku_i_(li)_qela	LocPre_NPrePre5_BPre5_NStem
.	Punc	Punc	.	Punc
a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem	NPrePre2_BPre2_NStem_BPre9_NStem	a_ba_thathi_n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem
ma_ba_jong_e	ImpPre_SC2_VRoot_VerbTerm	ImpPre_SC2_VRoot_VerbTerm	ma_ba_jong_e	ImpPre_SC2_VRoot_VerbTerm
u_3.3	NPrePre1a_Num	NPrePre3_Num	u_3.3	NPrePre3_Num
ku_a_ma_nqaku	LocPre_NPrePre6_BPre6_NStem	LocPre_NPrePre6_BPre6_NStem	ku_a_ma_nqaku	LocPre_NPrePre6_BPre6_NStem
nga_i_zi_fundo	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	nga_i_zi_fundo	AdvPre_NPrePre8_BPre8_NStem
njenga_u_m_zekelo	AdvPre_NPrePre3_BPre3_NStem	AdvPre_NPrePre3_BPre3_NStem	njenga_u_m_zekelo	AdvPre_NPrePre3_BPre3_NStem
o_phelel_e_yo	RelConc3_VRoot_VerbTerm_RelSuf	RelConc3_VRoot_VerbTerm_RelSuf	o_phelel_e_yo	RelConc3_VRoot_VerbTerm_RelSuf
.	Punc	Punc	.	Punc
i_zi_cwangciso	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_cwangciso	NPrePre8_BPre8_NStem
zi_jolis_w_e	SC8_VRoot_PassExt_VerbTerm	SC8_VRoot_PassExt_VerbTerm	zi_jolis_w_e	SC8_VRoot_PassExt_VerbTerm
kwaye	Conj	Conj	kwaye	Conj
zi_phathel_en_e	SC8_VRoot_RecipExt_VerbTerm	SC10_VRoot_RecipExt_VerbTerm	zi_phath_el_en_e	SC10_VRoot_ApplExt_RecipExt_VerbTerm
ngakumbi	Adv	Adv	ngakumbi	Adv
na_u_ku_lungis_w_a	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm	na_u_ku_lungis_w_a	AdvPre_NPrePre15_BPre15_VRoot_PassExt_VerbTerm
kwa_i_zin_to	PossConc15_NPrePre10_BPre10_NStem	PossConc15_NPrePre10_BPre10_NStem	kwa_i_zin_to	PossConc15_NPrePre10_BPre10_NStem
ezi_xabis_ek_e	RelConc10_VRoot_NeutExt_VerbTerm	RelConc10_VRoot_NeutExt_VerbTerm	ezi_xabis_ek_e	RelConc10_VRoot_NeutExt_VerbTerm
ku_wo	LocPre_PronStem3	LocPre_PronStem6	ku_wo	LocPre_PronStem6
o_nke	QuantConc6_QuantStem	QuantConc6_QuantStem	o_nke	QuantConc6_QuantStem
a_ma_qela	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem	a_ma_qela	NPrePre6_BPre6_NStem
nga_u_ku_shiy_a_shiy_an_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm_VRoot_RecipExt_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm_VRoot_RecipExt_VerbTerm	nga_oko_ku_shiy_a_shiy_an_a	AdvPre_AdvPre_SC15_VRoot_VerbTerm_VRoot_RecipExt_VerbTerm
kwa_zo	PossConc15_PronStem10	PossConc15_PronStem10	kwa_zo	PossConc15_PronStem10
,	Punc	Punc	,	Punc
ku_bandakany_w_a	SC15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm	ku_bandakany_w_a	SC15_VRoot_PassExt_VerbTerm
na_e_zo_na	AdvPre_LocPre_PronStem8_PronSuf	AdvPre_SC9_PronStem10_PronSuf	na_e_zo_na	AdvPre_SC9_PronStem10_PronSuf
zi_z_i_zi_sulu	BPre8_CopPre_NPrePre8_BPre8_NStem	CopPre_CopPre_NPrePre8_BPre8_NStem	z_i_zi_zi_sulu	CopPre_NPrePre8_BPre8_BPre8_NStem
.	Punc	Punc	.	Punc
u_bu_me	NPrePre14_BPre14_NStem	NPrePre14_BPre14_NStem	u_bu_me	NPrePre14_BPre14_NStem
ba_i_zi_khono	PossConc14_NPrePre8_BPre8_NStem	PossConc2_NPrePre8_BPre8_NStem	ba_i_zi_khono	PossConc2_NPrePre8_BPre8_NStem
za_i_n_konzo	PossConc8_NPrePre9_BPre9_NStem	PossConc10_NPrePre9_BPre9_NStem	za_i_n_konzo	PossConc10_NPrePre9_BPre9_NStem
ya_u_lu_ntu	PossConc9_NPrePre11_BPre11_NStem	PossConc9_NPrePre11_BPre11_NStem	ya_u_lu_ntu	PossConc9_NPrePre11_BPre11_NStem
bu_bon_akal_is_a	SC14_VRoot_NeutExt_CausExt_VerbTerm	SC14_VRoot_NeutExt_CausExt_VerbTerm	bu_bon_akal_is_a	SC14_VRoot_NeutExt_CausExt_VerbTerm
u_bu_me	NPrePre14_BPre14_NStem	NPrePre14_BPre14_NStem	u_bu_me	NPrePre14_BPre14_NStem
ba_i_zi_khono	PossConc14_NPrePre8_BPre8_NStem	PossConc2_NPrePre8_BPre8_NStem	ba_i_zi_khono	PossConc2_NPrePre8_BPre8_NStem
zi_ka_zwelonke	PossConc8_PossKA_NStem	PossConc10_PossKA_NStem	zi_ka_zwelonke	PossConc10_PossKA_NStem
.	Punc	Punc	.	Punc
ku_kho	CopPre_Adv	CopPre_Adv	ku_kho	CopPre_Adv
u_ku_shot_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_shot_a	NPrePre15_BPre15_VRoot_VerbTerm
oku_mandundu	RelConc15_RelStem	RelConc15_RelStem	oku_mandundu	RelConc15_RelStem
kwa_oo_gqirha	PossConc15_NPrePre2a_NStem	PossConc15_NPrePre2a_NStem	ku_oo_gqirha	LocPre_BPre2a_NStem
aba_na_u_bu_lunga	RelConc2_CopPre_NPrePre14_BPre14_NStem	RelConc2_CopPre_NPrePre14_BPre14_NStem	aba_na_u_bu_lunga	RelConc2_CopPre_NPrePre14_BPre14_NStem
obu_phezulu	RelConc14_Adv	RelConc14_Adv	obu_phezulu	RelConc14_Adv
,	Punc	Punc	,	Punc
i_(z)in_jineli	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_jineli	NPrePre10_BPre10_NStem
,	Punc	Punc	,	Punc
i_(z)in_gcali	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_gcali	NPrePre10_BPre10_NStem
za_u_lu_azi	PossConc10_NPrePre11_BPre11_NStem	PossConc10_NPrePre11_BPre11_NStem	za_u_lu_azi	PossConc10_NPrePre11_BPre11_NStem
lwa_u_bu_chwepheshe	PossConc11_NPrePre14_BPre14_NStem	PossConc11_NPrePre14_BPre14_NStem	lwa_u_bu_chwepheshe	PossConc11_NPrePre14_BPre14_NStem
,	Punc	Punc	,	Punc
i_(z)in_gcali	NPrePre10_BPre10_NStem	NPrePre10_BPre10_NStem	i_(z)in_gcali	NPrePre10_BPre10_NStem
za_s_e_i_n_khundla_ini	PossConc10_PreLoc-s_LocPre_NPrePre9_BPre9_NStem_LocSuf	PossConc8_PreLoc-s_LocPre_NPrePre9_BPre9_NStem_LocSuf	za_s_e_i_n_kundla_ini	PossConc8_PreLoc-s_LocPre_NPrePre9_BPre9_NStem_LocSuf
,	Punc	Punc	,	Punc
a_be_cuphi	NPrePre2_BPre2_NStem	NPrePre2_Past_Adv	a_be_cuphi	NPrePre2_Past_Adv
,	Punc	Punc	,	Punc
a_ba_cwangcisi	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	a_ba_cwangcisi	NPrePre2_BPre2_NStem
,	Punc	Punc	,	Punc
a_ba_gcini	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	a_ba_gcin_i	NegPre_SC2_VRoot_VerbTerm
zin_cwadi	BPre10_NStem	BPre10_NStem	zi_ncwadi	BPre8_NStem
,	Punc	Punc	,	Punc
a_ba_tshutshisi	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	a_ba_tshutshisisisi	PossConc6_BPre2_NStem
,	Punc	Punc	,	Punc
a_ba_cebisi	NPrePre2_BPre2_NStem	NPrePre2_BPre2_NStem	a_ba_cebisi	NPrePre2_BPre2_NStem
ba_i_kharityhulam	PossConc2_NPrePre9_NStem	PossConc2_NPrePre9_NStem	be_kharityhulam	CopPre_NStem
njalo	Adv	Adv	njalo	Adv
njalo	Adv	Adv	njalo	Adv
njalo	Adv	Adv	njalo	Adv
.	Punc	Punc	.	Punc
u_ku_ongez_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_ongez_a	NPrePre15_BPre15_VRoot_VerbTerm
,	Punc	Punc	,	Punc
u_bu_na_kho	NPrePre14_BPre14_CopPre_NStem	NPrePre14_BPre14_CopPre_NStem	u_bu_na_kho	NPrePre14_BPre14_CopPre_NStem
ba_u_(lu)_lawulo	PossConc14_NPrePre11_BPre11_NStem	PossConc14_NPrePre11_BPre11_NStem	ba_u_(lu)_lawulo	PossConc14_NPrePre11_BPre11_NStem
ba_a_ba_sebenzi	PossConc14_NPrePre2_BPre2_NStem	PossConc14_NPrePre2_BPre2_NStem	ba_a_ba_sebenzi	PossConc14_NPrePre2_BPre2_NStem
aba_phezulu	RelConc2_Adv	RelConc2_Adv	aba_phezulu	RelConc2_Adv
aba_sebenz_a	RelConc2_VRoot_VerbTerm	RelConc2_VRoot_VerbTerm	aba_sebenz_a	RelConc2_VRoot_VerbTerm
ku_i_mi_butho	LocPre_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem	ku_i_mi_butho	LocPre_NPrePre4_BPre4_NStem
e_na_u_bu_nzima	RelConc4_CopPre_NPrePre14_BPre14_RelStem	RelConc9_CopPre_NPrePre14_BPre14_RelStem	e_na_u_bu_nzima	RelConc9_CopPre_NPrePre14_BPre14_RelStem
,	Punc	Punc	,	Punc
ku_i_mi_xholo	LocPre_NPrePre4_BPre4_NStem	LocPre_NPrePre4_BPre4_NStem	ku_i_mi_xholo	LocPre_NPrePre4_BPre4_NStem
ya_i_politiki	PossConc4_NPrePre9_NStem	PossConc9_NPrePre9_NStem	ya_i_politiki	PossConc9_NPrePre9_NStem
e_ya_s_e_u_ku_hlal_a_ini	RelConc9_PossConc9_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	RelConc4_PossConc4_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf	e_ya_s_e_u_ku_hlal_a_ini	RelConc4_PossConc4_PreLoc-s_LocPre_NPrePre15_BPre15_VRoot_VerbTerm_LocSuf
ku_fun_a	SC15_VRoot_VerbTerm	SC15_VRoot_VerbTerm	ku_fun_a	SC15_VRoot_VerbTerm
i_n_gqalelo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_gqalelo	NPrePre9_BPre9_NStem
en_khulu	AdjPref9_AdjStem	AdjPref9_AdjStem	en_khulu	AdjPref9_AdjStem
.	Punc	Punc	.	Punc
u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_sombulul_a	NPrePre15_BPre15_VRoot_VerbTerm
zo_m_bini	QuantConc10_BPre1_AdjStem	QuantConc10_BPre9_AdjStem	zo_m_bini	QuantConc10_BPre9_AdjStem
u_ku_shot_a	NPrePre15_BPre15_VRoot_VerbTerm	NPrePre15_BPre15_VRoot_VerbTerm	u_ku_shot_a	NPrePre15_BPre15_VRoot_VerbTerm
kwa_i_zi_khona	PossConc15_NPrePre8_BPre8_Adv	PossConc15_NPrePre8_BPre8_NStem	ku_e_za_khona	LocPre_RelConc8_PossConc8_Adv
za_u_bu_gcisa	PossConc8_NPrePre14_BPre14_NStem	PossConc8_NPrePre14_BPre14_NStem	za_u_bu_gcisa	PossConc8_NPrePre14_BPre14_NStem
na_u_(lu)_lawulo	AdvPre_NPrePre11_BPre11_NStem	AdvPre_NPrePre11_BPre11_NStem	na_u_(lu)_lawulo	AdvPre_NPrePre11_BPre11_NStem
,	Punc	Punc	,	Punc
u_rhulumente	NPrePre1a_NStem	NPrePre1a_NStem	u_rhulumente	NPrePre1a_NStem
ku_mele	SC15_AuxVStem	SC15_AuxVStem	ku_mele	SC15_AuxVStem
a_thath_e	SC6_VRoot_VerbTerm	SC6_VRoot_VerbTerm	a_thath_e	SC6_VRoot_VerbTerm
i_m_bono	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_m_bono	NPrePre9_BPre9_NStem
ya_i_(li)_xesha	PossConc9_NPrePre5_BPre5_NStem	PossConc9_NPrePre5_BPre5_NStem	ya_i_(li)_xesha	PossConc9_NPrePre5_BPre5_NStem
eli_de	AdjPref5_AdjStem	AdjPref5_AdjStem	eli_de	AdjPref5_AdjStem
e_u_ku_phuhl_is_a_ini	LocPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm_LocSuf	LocPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm_LocSuf	e_u_ku_phuhl_is_a_ini	LocPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm_LocSuf
i_zi_khono	NPrePre8_BPre8_NStem	NPrePre8_BPre8_NStem	i_zi_khono	NPrePre8_BPre8_NStem
ezi_y_i_m_funeko	RelConc10_CopPre_NPrePre9_BPre9_NStem	RelConc10_CopPre_NPrePre9_BPre9_NStem	ezi_y_i_m_funeko	RelConc10_CopPre_NPrePre9_BPre9_NStem
nga_i_(li)_khondo	AdvPre_NPrePre5_BPre5_NStem	AdvPre_NPrePre5_BPre5_NStem	nga_i_(li)_khondo	AdvPre_NPrePre5_BPre5_NStem
la_i_n_fundo	PossConc5_NPrePre9_BPre9_NStem	PossConc5_NPrePre9_BPre9_NStem	la_i_m_fundo	PossConc5_NPrePre9_BPre9_NStem
,	Punc	Punc	,	Punc
nga_u_ku_cebis_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	nga_u_ku_cebis_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm
,	Punc	Punc	,	Punc
na_nga_u_bu_dlelane	AdvPre_AdvPre_NPrePre14_BPre14_NStem	AdvPre_AdvPre_NPrePre14_BPre14_NStem	na_nga_u_bu_dlelane	AdvPre_AdvPre_NPrePre14_BPre14_NStem
obu_sondel_en_e_yo	RelConc15_VRoot_RecipExt_VerbTerm_RelSuf	RelConc14_VRoot_RecipExt_VerbTerm_RelSuf	obu_sondel_an_e_yo	RelConc14_VRoot_RecipExt_VerbTerm_RelSuf
na_i_(z)i_yunivesithi	AdvPre_NPrePre10_BPre10_NStem	AdvPre_NPrePre10_BPre10_NStem	na_i_(z)i_yunivesithi	AdvPre_NPrePre10_BPre10_NStem
na_i_zi_fundo	AdvPre_NPrePre8_BPre8_NStem	AdvPre_NPrePre8_BPre8_NStem	na_i_zi_fundo	AdvPre_NPrePre8_BPre8_NStem
za_a_ma_candelo	PossConc10_NPrePre6_BPre6_NStem	PossConc10_NPrePre6_BPre6_NStem	za_a_ma_candelo	PossConc10_NPrePre6_BPre6_NStem
e_za_u_(lu)_lawulo	RelConc9_PossConc8_NPrePre11_BPre11_NStem	RelConc8_PossConc8_NPrePre11_BPre11_NStem	e_za_u_(lu)_lawulo	RelConc8_PossConc8_NPrePre11_BPre11_NStem
.	Punc	Punc	.	Punc
i_si_cwangciso	NPrePre7_BPre7_NStem	NPrePre7_BPre7_NStem	i_si_cwangciso	NPrePre7_BPre7_NStem
si_thembek_ile	SC7_VRoot_Perf	SC7_VRoot_Perf	si_thembek_il_e	SC7_VRoot_Perf_VerbTerm
kuphela	Adv	Adv	kuphela	Adv
njenga_ukuba	AdvPre_Conj	AdvPre_Conj	njenga_ukuba	AdvPre_Conj
i_n_kqubo	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem	i_n_kqubo	NPrePre9_BPre9_NStem
ya_u_ku_hamb_is_w_a	PossConc9_NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	PossConc9_NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm	ya_u_ku_hamb_is_w_a	PossConc9_NPrePre15_BPre15_VRoot_CausExt_PassExt_VerbTerm
kwa_so	PossConc15_PronStem7	PossConc15_PronStem7	kwa_so	PossConc15_PronStem7
i_lung_ile	SC9_VRoot_Perf	SC9_VRoot_Perf	i_(li)_lung_ile	NPrePre5_BPre5_VRoot_Perf
.	Punc	Punc	.	Punc
ku_kho	CopPre_Adv	CopPre_Adv	ku_kho	CopPre_Adv
u_m_gcipheko	NPrePre3_BPre3_NStem	NPrePre3_BPre3_NStem	u_m_gcipheko	NPrePre3_BPre3_NStem
