morphemes	target_surface_gold	prediction_surface_gold	target_surface_pred	prediction_surface_pred
ngo_phuhliso	AdvPre_NPrePre11_BPre11_NStem	NStem_NStem	AdvPre_NPrePre11_BPre11_NStem	CopPre_NStem
ku_hlahlo	LocPre_NPrePre11_NStem	NStem_NStem	LocPre_NPrePre11_NStem	LocPre_NStem
lw_ab_iwo__mali	BPre11_NStem_NStem	PUNC_PUNC_PUNC_PUNC	BPre11_NStem_NStem	BPre11_VRoot_PassExt_NStem
no_ku_cac_is_a	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	AdvPre_NPrePre15_BPre15_VRoot_CausExt_VerbTerm	AdvPre_OC15_VRoot_CausExt_VerbTerm
oku_tshintsh_il_e_yo	RelConc15_VRoot_Perf_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc15_VRoot_Perf_VerbTerm_RelSuf	RelConc15_VRoot_ApplExt_VerbTerm_RelSuf
kw_i_zi_cwangciso	LocPre_NPrePre8_BPre8_NStem	VRoot_NStem_VRoot_NStem	LocPre_NPrePre8_BPre8_NStem	PossConc15_NPrePre4_BPre7_NStem
zo_ku_qal_a	PossConc10_NPrePre15_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem	PossConc10_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_OC15_VRoot_VerbTerm
.	Punc	PUNC	Punc	PUNC
Xa	Conj	PUNC	Conj	ProperName
u_ngen_a_zo	CopPre_NegPre_CopPre_PronStem10	NStem_NStem_NStem_NStem	CopPre_NegPre_CopPre_PronStem10	SC2ps_VRoot_VerbTerm_PronStem4
i_i_kopi	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NPrePre4_NPrePre4_NStem
ze__I_DP	PossConc8_NPrePre9_Abbr	NStem_NStem_NStem	PossConc8_NPrePre9_Abbr	AdvPre_NPrePre4_Abbr
kunye	Conj	PUNC	Conj	Conj
/	Punc	PUNC	Punc	PUNC
okanye	Conj	PUNC	Conj	Adv
aba_thathi__n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem	VRoot_VRoot_VRoot_VRoot	NPrePre2_BPre2_NStem_BPre9_NStem	RelConc2_NStem_BPre9_NStem
ba_be	SC2_AuxVStem	PUNC_PUNC	SC2_AuxVStem	SC2_AuxVStem
be_nga_y_az_i	SC2_NegPre_SC9_VRoot_VerbTerm	NStem_NStem_NStem_NStem_NStem	SC2_NegPre_SC9_VRoot_VerbTerm	SC2_NegPre_OC9_VRoot_VerbTerm
i__I_DP	NPrePre9_Abbr	NStem_NStem_NStem	NPrePre9_Abbr	NPre9_NPre9_Abbr
ba_cac_is_el_e	SC2_VRoot_ApplExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	SC2_VRoot_ApplExt_VerbTerm	SC2_VRoot_CausExt_ApplExt_VerbTerm
a_ma_bakal_a	NPrePre6_BPre6_NStem	NStem_NStem_NStem_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_VRoot_VerbTerm
a_kw_i_phepha	RelConc6_LocPre_NPrePre5_BPre5_NStem	NStem_NStem_NStem_NStem	RelConc6_LocPre_NPrePre5_BPre5_NStem	NegPre_BPre15_NPrePre4_NStem
la_ma__3_3	PossConc5_BPre6_Num	NStem_NStem_NStem_NStem	PossConc5_BPre6_Num	PossConc5_AdjPref6_Num_Num
,	Punc	Conj	Punc	PUNC
u_ba_chaz_el_a	SC1_OC2_VRoot_ApplExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	SC1_OC2_VRoot_ApplExt_VerbTerm	SC2ps_SC2_VRoot_ApplExt_VerbTerm
i_bakal_a	NPrePre5_BPre5_NStem	NStem_NStem_NStem	NPrePre5_BPre5_NStem	SC9_VRoot_VerbTerm
nga_li_nye	AdvPre_EnumConc5_EnumStem	NStem_NStem_NStem	AdvPre_EnumConc5_EnumStem	AdvPre_AdjPref5_AdjStem
u_ba_bon_is_a	SC1_SC2_VRoot_CausExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	SC1_SC2_VRoot_CausExt_VerbTerm	SC2ps_OC2_VRoot_CausExt_VerbTerm
i_n_dlel_a	NPrePre9_BPre9_NStem	NStem_NStem_NStem_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_VRoot_VerbTerm
i_bakal_a	NPrePre5_BPre5_NStem	NStem_NStem_NStem	NPrePre5_BPre5_NStem	SC9_VRoot_VerbTerm
nga_li_nye	AdvPre_EnumConc5_EnumStem	NStem_NStem_NStem	AdvPre_EnumConc5_EnumStem	AdvPre_AdjPref5_AdjStem
eli_be	RelConc5_Cop	PUNC_PUNC	RelConc5_Cop	RelConc5_AuxVStem
ne_e_m_pembelelo	AdvPre_NPrePre10_BPre10_NStem	VRoot_VRoot_VRoot_VRoot	AdvPre_NPrePre10_BPre10_NStem	AdvPre_LocPre_BPre3_NStem
nga_yo	AdvPre_PronStem9	PUNC_PUNC	AdvPre_PronStem9	AdvPre_PronStem9
kw_i__I_DP	LocPre_NPrePre9_Abbr	NStem_NStem_NStem_NStem	LocPre_NPrePre9_Abbr	PossConc15_NPre9_NPre9_Abbr
ya_bo	PossConc9_PronStem2	PUNC_PUNC	PossConc9_PronStem2	PossConc9_PronStem2
.	Punc	PUNC	Punc	PUNC
Xa	Conj	PUNC	Conj	ProperName
aba_thathi__n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem	VRoot_VRoot_VRoot_VRoot	NPrePre2_BPre2_NStem_BPre9_NStem	RelConc2_NStem_BPre9_NStem
be_yi_qhel_ile	SC2_OC9_VRoot_Perf	VRoot_NStem_VRoot_NStem	SC2_OC9_VRoot_Perf	SC2_OC9_VRoot_Perf
i__I_DP	NPrePre9_Abbr	NStem_NStem_NStem	NPrePre9_Abbr	NPrePre4_NPrePre4_Abbr
ya_bo	PossConc9_PronStem2	PUNC_PUNC	PossConc9_PronStem2	PossConc9_PronStem2
ba_khany_is_el_e	SC2_VRoot_CausExt_ApplExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	SC2_VRoot_CausExt_ApplExt_VerbTerm	SC2_VRoot_CausExt_ApplExt_VerbTerm
ng_a_ma_bakal_a	CopPre_NPrePre6_BPre6_NStem	NStem_NStem_NStem_NStem_NStem	CopPre_NPrePre6_BPre6_NStem	AdvPre_NPrePre6_BPre6_VRoot_VerbTerm
u_ze	SC1_AuxVStem	PUNC_PUNC	SC1_AuxVStem	NPrePre1a_NStem
u_ba_buz_e	SC2ps_OC2_VRoot_VerbTerm	NStem_NStem_NStem_NStem	SC2ps_OC2_VRoot_VerbTerm	SC3_SC2_VRoot_VerbTerm
nge_n_dlel_a	AdvPre_NPrePre9_BPre9_NStem	NStem_NStem_NStem_NStem	AdvPre_NPrePre9_BPre9_NStem	AdvPre_BPre9_VRoot_VerbTerm
aba_thath_e	RelConc2_VRoot_VerbTerm	NStem_NStem_NStem	RelConc2_VRoot_VerbTerm	RelConc2_VRoot_VerbTerm
i_n_xaxheba	NPrePre9_BPre9_NStem	NStem_NStem_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
nga_yo	AdvPre_PronStem9	PUNC_PUNC	AdvPre_PronStem9	AdvPre_PronStem9
kw_i_bakal_a	LocPre_NPrePre5_BPre5_NStem	NStem_NStem_NStem_NStem	LocPre_NPrePre5_BPre5_NStem	BPre15_NPrePre4_VRoot_VerbTerm
nga_li_nye	AdvPre_EnumConc5_EnumStem	NStem_NStem_NStem	AdvPre_EnumConc5_EnumStem	AdvPre_AdjPref5_AdjStem
.	Punc	PUNC	Punc	PUNC
U_ku_phuhl_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	VRoot_VRoot_NStem_VRoot_VRoot	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	SC3_OC15_VRoot_CausExt_VerbTerm
i_si_cwangciso	NPrePre7_BPre7_NStem	VRoot_VRoot_VRoot	NPrePre7_BPre7_NStem	NPrePre4_BPre7_NStem
se_wadi	PossConc7_NPrePre9_NStem	NStem_NStem	PossConc7_NPrePre9_NStem	PossConc7_NStem
ku_thath_a	SC15_VRoot_VerbTerm	NStem_NStem_NStem	SC15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
i_xesha	NPrePre5_BPre5_NStem	NStem_NStem	NPrePre5_BPre5_NStem	NPrePre4_NStem
kwaye	Conj	PUNC	Conj	Adv
si_fun_a	SC7_VRoot_VerbTerm	NStem_NStem_NStem	SC7_VRoot_VerbTerm	SC1_VRoot_VerbTerm
u_kw_enz_iw_a	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	NPrePre15_BPre15_VRoot_PassExt_VerbTerm	SC3_OC15_VRoot_PassExt_VerbTerm
ngo_ku_qaphel_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	VRoot_VRoot_VRoot_VRoot	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	CopPre_OC15_VRoot_VerbTerm
.	Punc	PUNC	Punc	PUNC
I_n_kqubo	NPrePre9_BPre9_NStem	NStem_NStem_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
i_bandakany_a	SC9_VRoot_VerbTerm	VRoot_VRoot_VRoot	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm
u_hlalutyo	NPrePre11_NStem	NStem_NStem	NPrePre11_NStem	NPrePre1a_NStem
lwe_meko	PossConc11_NPrePre9_NStem	NStem_NStem	PossConc11_NPrePre9_NStem	PossConc11_NStem
(	Punc	PUNC	Punc	PUNC
i_in_tsuku	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NPrePre4_NPre9_NStem
ezim_bini	AdjPref10_AdjStem	NStem_NStem	AdjPref10_AdjStem	LocPre_BPre3
)	Punc	PUNC	Punc	PUNC
,	Punc	PUNC	Punc	PUNC
u_ku_hlanganisel_w_a	NPrePre15_BPre15_VRoot_ApplExt_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	NPrePre15_BPre15_VRoot_ApplExt_PassExt_VerbTerm	SC1a_BPre15_VRoot_PassExt_VerbTerm
kwe_e_n_kcukacha	PossConc15_NPrePre10_BPre10_NStem	VRoot_VRoot_VRoot_VRoot	PossConc15_NPrePre10_BPre10_NStem	PossConc15_LocPre_BPre9_NStem
(	Punc	PUNC	Punc	PUNC
u_suku	NPrePre11_NStem	PUNC_PUNC	NPrePre11_NStem	NPrePre1a_NStem
olu_nye	AdjPref11_AdjStem	PUNC_PUNC	AdjPref11_AdjStem	AdjPref11_EnumStem
)	Punc	PUNC	Punc	PUNC
,	Punc	PUNC	Punc	PUNC
u_kw_enz_a	NPrePre15_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem	NPrePre15_BPre15_VRoot_VerbTerm	SC2ps_OC15_VRoot_VerbTerm
i_si_cwangciso	NPrePre7_BPre7_NStem	VRoot_VRoot_VRoot	NPrePre7_BPre7_NStem	NPrePre4_BPre7_NStem
se_n_kqubo	PossConc7_NPrePre9_BPre9_NStem	VRoot_NStem_NStem	PossConc7_NPrePre9_BPre9_NStem	PossConc7_BPre9_NStem
(	Punc	PUNC	Punc	PUNC
u_suku	NPrePre11_NStem	PUNC_PUNC	NPrePre11_NStem	NPrePre1a_NStem
olu_nye	AdjPref11_AdjStem	PUNC_PUNC	AdjPref11_AdjStem	AdjPref11_AdjStem
)	Punc	Adv	Punc	PUNC
no_kw_enz_a	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	VRoot_VRoot_VRoot_NStem	AdvPre_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_OC15_VRoot_VerbTerm
i_si_cwangciso	NPrePre7_BPre7_NStem	VRoot_VRoot_VRoot	NPrePre7_BPre7_NStem	NPrePre4_BPre7_NStem
se_m_pumezo	PossConc7_NPrePre9_BPre9_NStem	NStem_NStem_NStem	PossConc7_NPrePre9_BPre9_NStem	PossConc7_BPre3_NStem
(	Punc	PUNC	Punc	PUNC
u_suku	NPrePre11_NStem	PUNC_PUNC	NPrePre11_NStem	NPrePre1a_NStem
olu_nye	AdjPref11_AdjStem	PUNC_PUNC	AdjPref11_AdjStem	AdjPref11_AdjStem
)	Punc	PUNC	Punc	PUNC
.	Punc	PUNC	Punc	PUNC
U_ku_nced_is_a	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	NPrePre15_BPre15_VRoot_CausExt_VerbTerm	SC2ps_OC15_VRoot_CausExt_VerbTerm
kw_i_n_kqubo	LocPre_NPrePre9_BPre9_NStem	VRoot_VRoot_VRoot_VRoot	LocPre_NPrePre9_BPre9_NStem	PossConc15_NPrePre9_BPre9_NStem
ye_si_cwangciso	PossConc9_NPrePre7_BPre7_NStem	VRoot_VRoot_VRoot	PossConc9_NPrePre7_BPre7_NStem	PossConc9_BPre7_NStem
kw_enz_iw_a	BPre15_VRoot_PassExt_VerbTerm	NStem_VRoot_VRoot_VRoot	BPre15_VRoot_PassExt_VerbTerm	SC15_VRoot_PassExt_VerbTerm
y_i_Komiti	CopPre_NPrePre9_NStem	NStem_NStem_NStem	CopPre_NPrePre9_NStem	CopPre_NPre9_NStem
ye_Wadi	PossConc9_NPrePre9_NStem	NStem_NStem	PossConc9_NPrePre9_NStem	PossConc9_NStem
e_qeqesh_iw_e_yo	RelConc9_VRoot_PassExt_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot	RelConc9_VRoot_PassExt_VerbTerm_RelSuf	LocPre_VRoot_PassExt_VerbTerm_RelSuf
na_ba_bhexeshi	AdvPre_NPrePre2_BPre2_NStem	NStem_NStem_NStem	AdvPre_NPrePre2_BPre2_NStem	AdvPre_BPre2_NStem
ba_ka_masipala	PossConc2_PossKA_NStem	NStem_NStem_NStem	PossConc2_PossKA_NStem	BPre2_ExclNeg_NStem
.	Punc	PUNC	Punc	PUNC
I_si_xokelelwano	NPrePre7_BPre7_NStem	VRoot_VRoot_VRoot	NPrePre7_BPre7_NStem	NPrePre4_BPre7_NStem
esi_banzi	RelConc7_RelStem	NStem_NStem	RelConc7_RelStem	RelConc7_NStem
se_zin_to	PossConc7_NPrePre10_BPre10_NStem	NStem_NStem_NStem	PossConc7_NPrePre10_BPre10_NStem	NegPre_VRoot_PronStem10
ezin_tsha	AdjPref10_AdjStem	PUNC_PUNC	AdjPref10_AdjStem	AdvPre_AdjStem
ezi_dibanis_a	RelConc10_VRoot_VerbTerm	NStem_NStem_NStem	RelConc10_VRoot_VerbTerm	RelConc10_VRoot_VerbTerm
i_i_yunivesithi	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NPre9_BPre9_NStem
,	Punc	PUNC	Punc	PUNC
a_ma_bhunga	NPrePre6_BPre6_NStem	NStem_NStem_NStem	NPrePre6_BPre6_NStem	NPrePre6_BPre6_NStem
e_nzululwaz_i	PossConc6_NPrePre9_NStem	VRoot_VRoot_VRoot	PossConc6_NPrePre9_NStem	LocPre_VRoot_VerbTerm
n_olu_nye	AdvPre_AdjPref11_AdjStem	NStem_NStem_NStem	AdvPre_AdjPref11_AdjStem	AdvPre_AdjPref11_EnumStem
u_phando	NPrePre11_NStem	PUNC_PUNC	NPrePre11_NStem	NPrePre1a_NStem
na_ba_dlal_a	AdvPre_RelConc2_VRoot_VerbTerm	NStem_NStem_NStem_NStem	AdvPre_RelConc2_VRoot_VerbTerm	AdvPre_BPre2_VRoot_VerbTerm
i_n_dima	NPrePre9_BPre9_NStem	NStem_NStem_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
ku_phuhliso	LocPre_NPrePre11_BPre11_NStem	NStem_NStem	LocPre_NPrePre11_BPre11_NStem	LocPre_NStem
ne_zin_to	AdvPre_NPrePre10_BPre10_NStem	NStem_NStem_NStem	AdvPre_NPrePre10_BPre10_NStem	AdvPre_BPre10_PronStem10
e_ma_zi_jong_w_e	RelConc9_ImpPre_OC10_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot_VRoot	RelConc9_ImpPre_OC10_VRoot_PassExt_VerbTerm	NPrePre6_BPre6_OC5_VRoot_PassExt_VerbTerm
ku_qal_a	SC15_VRoot_VerbTerm	NStem_NStem_NStem	SC15_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
kw_i_in_kalo	LocPre_NPrePre10_BPre10_NStem	NStem_NStem_NStem_NStem	LocPre_NPrePre10_BPre10_NStem	PossConc15_NPrePre9_BPre9_NStem
zo_qoqosho	PossConc10_NPrePre11_BPre11_NStem	NStem_NStem	PossConc10_NPrePre11_BPre11_NStem	BPre2a_NStem
.	Punc	PUNC	Punc	PUNC
A_ba_thathi__n_xaxheba	NPrePre2_BPre2_NStem_BPre9_NStem	VRoot_VRoot_VRoot_VRoot_VRoot	NPrePre2_BPre2_NStem_BPre9_NStem	RelConc6_BPre2_NStem_BPre9_NStem
ba_fund_a	SC2_VRoot_VerbTerm	NStem_NStem_NStem	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm
i_i_meko	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NPrePre4_BPre4_NStem
ezin_tathu	AdjPref10_AdjStem	NStem_NStem	AdjPref10_AdjStem	AdvPre_NStem
ba_ze	SC2_AuxVStem	PUNC_PUNC	SC2_AuxVStem	BPre2_NStem
ba_phendul_e	SC2_VRoot_VerbTerm	NStem_NStem_NStem	SC2_VRoot_VerbTerm	SC2_VRoot_VerbTerm
i_mi_buzo	NPrePre4_BPre4_NStem	NStem_NStem_NStem	NPrePre4_BPre4_NStem	NPrePre4_BPre4_NStem
.	Punc	PUNC	Punc	PUNC
I_in_kqubo	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NPrePre9_BPre9_NStem
zo_kw_enz_a	PossConc10_NPrePre15_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem	PossConc10_NPrePre15_BPre15_VRoot_VerbTerm	RelConc3_OC15_VRoot_VerbTerm
i_zi_cwangciso	NPrePre8_BPre8_NStem	VRoot_VRoot_VRoot	NPrePre8_BPre8_NStem	NPrePre4_Pres_NStem
_	Punc		Punc	
z_enz_a	SC10_VRoot_VerbTerm	NStem_NStem_NStem	SC10_VRoot_VerbTerm	BPre15_VRoot_VerbTerm
u_kuba	Conj	PUNC_PUNC	Conj	NPrePre1a_NStem
i_projekthi	NPrePre9_NStem	NStem_NStem	NPrePre9_NStem	NPrePre4_NStem
i_qhub_e	SC9_VRoot_VerbTerm	NStem_NStem_NStem	SC9_VRoot_VerbTerm	SC9_VRoot_VerbTerm
nga_phandle	AdvPre_Adv	NStem_NStem	AdvPre_Adv	AdvPre_Adv
kwa_ma_gingxi__gingxi	PossConc15_NPrePre6_BPre6_NStem_NStem	VRoot_VRoot_VRoot_VRoot	PossConc15_NPrePre6_BPre6_NStem_NStem	PossConc15_BPre6_NStem_NStem
kwaye	Conj	PUNC	Conj	Foreign
ne_e_n_gxaki	AdvPre_NPrePre9_BPre9_NStem	VRoot_NStem_VRoot_VRoot	AdvPre_NPrePre9_BPre9_NStem	AdvPre_NPrePre6_BPre9_NStem
zi_be	CopPre_Cop	PUNC_PUNC	CopPre_Cop	RelConc10_AuxVStem
m_balwa	RelStem	NStem_NStem	RelStem	BPre3_NStem
ka_ngangoko	AdvPre_Adv	PUNC_PUNC	AdvPre_Adv	AdvPre_Adv
ku_no_kw_enz_ek_a	SC15_AdvPre_NPrePre15_BPre15_VRoot_NeutExt_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot_VRoot	SC15_AdvPre_NPrePre15_BPre15_VRoot_NeutExt_VerbTerm	SC15_Adv_OC15_VRoot_NPas_VerbTerm
.	Punc	PUNC	Punc	PUNC
Njeng_oko	AdvPre_Dem15_Pos2	NStem_NStem	AdvPre_Dem15_Pos2	AdvPre_NStem
xa	Conj	PUNC	Conj	Adv
zi_chaz_w_a	SC10_VRoot_PassExt_VerbTerm	NStem_NStem_NStem_NStem	SC10_VRoot_PassExt_VerbTerm	SC2_VRoot_PassExt_VerbTerm
i_i_projekthi	NPrePre10_BPre10_NStem	NStem_NStem_NStem	NPrePre10_BPre10_NStem	NPrePre4_NPrePre4_NStem
zi_fan_a	SC10_VRoot_VerbTerm	NStem_NStem_NStem	SC10_VRoot_VerbTerm	CopPre_VRoot_VerbTerm
zo_dwa	QuantConc10_QuantStem	PUNC_PUNC	QuantConc10_QuantStem	NStem_NStem
kwaye	Conj	Adv	Conj	Adv
zi_bandakany_a	SC10_VRoot_VerbTerm	NStem_NStem_NStem	SC10_VRoot_VerbTerm	NPrePre2_VRoot_VerbTerm
i_n_to	NPrePre9_BPre9_NStem	NStem_NStem_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre9_NStem
en_tsha	AdjPref9_AdjStem	NStem_NStem	AdjPref9_AdjStem	AdvPre_NStem
e_th_ile	RelConc9_VRoot_Perf	NStem_NStem_NStem	RelConc9_VRoot_Perf	SC3_VRoot_Perf
ma_lunga	Adv	PUNC_PUNC	Adv	BPre6_NStem
na_bo	AdvPre_PronStem2	PUNC_PUNC	AdvPre_PronStem2	AdvPre_PronStem2
ba_bandakany_ek_a_yo	SC2_VRoot_NeutExt_VerbTerm_RelSuf	VRoot_VRoot_VRoot_VRoot_VRoot	SC2_VRoot_NeutExt_VerbTerm_RelSuf	NPrePre2_VRoot_NeutExt_VerbTerm_PronStem9
,	Punc	PUNC	Punc	PUNC
ku_y_i_m_funeko	CopPre_CopPre_NPrePre9_BPre9_NStem	VRoot_VRoot_VRoot_VRoot_VRoot	CopPre_CopPre_NPrePre9_BPre9_NStem	BPre17_CopPre_NPrePre4_BPre3_NStem
u_kuba	Conj	PUNC_PUNC	Conj	NPrePre1a_NStem
ne_si_cwangciso	AdvPre_NPrePre7_BPre7_NStem	VRoot_VRoot_VRoot	AdvPre_NPrePre7_BPre7_NStem	AdvPre_BPre7_NStem
esi_qinisek_is_a	RelConc7_VRoot_CausExt_VerbTerm	VRoot_VRoot_VRoot_VRoot	RelConc7_VRoot_CausExt_VerbTerm	RelConc7_VRoot_CausExt_VerbTerm
u_kuba	Conj	PUNC_PUNC	Conj	NPrePre1a_NStem
bo_nke	QuantConc2_QuantStem	NStem_NStem	QuantConc2_QuantStem	QuantConc2_NStem
aba_bandakany_ek_a	RelConc2_VRoot_NeutExt_VerbTerm	VRoot_VRoot_VRoot_VRoot	RelConc2_VRoot_NeutExt_VerbTerm	RelConc2_VRoot_NeutExt_VerbTerm
kw_i_projekthi	LocPre_NPrePre9_NStem	NStem_NStem_NStem	LocPre_NPrePre9_NStem	PossConc15_NPrePre4_NStem
ba_ya_kw_az_i	SC2_Pres_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem_NStem	SC2_Pres_BPre15_VRoot_VerbTerm	SC2_Pres_OC15_VRoot_VerbTerm
oku_lindel_ek_e	RelConc15_VRoot_ApplExt_NeutExt_VerbTerm	NStem_NStem_NStem_NStem	RelConc15_VRoot_ApplExt_NeutExt_VerbTerm	RelConc15_VRoot_NeutExt_VerbTerm
ku_bo	LocPre_PronStem2	PUNC_PUNC	LocPre_PronStem2	LocPre_PronStem2
,	Punc	PUNC	Punc	PUNC
i_n_dlel_a	NPrePre9_BPre9_NStem	NStem_VRoot_NStem_NStem	NPrePre9_BPre9_NStem	SC4_CopPre_VRoot_VerbTerm
aba_fanel_e	RelConc2_VRoot_VerbTerm	NStem_NStem_NStem	RelConc2_VRoot_VerbTerm	RelConc2_VRoot_VerbTerm
u_ku_kw_enz_a	NPrePre15_BPre15_OC15_VRoot_VerbTerm	VRoot_VRoot_VRoot_VRoot_VRoot	NPrePre15_BPre15_OC15_VRoot_VerbTerm	SC2ps_BPre15_OC15_VRoot_VerbTerm
nga_yo	AdvPre_PronStem9	PUNC_PUNC	AdvPre_PronStem9	AdvPre_PronStem9
,	Punc	PUNC	Punc	PUNC
nini	Adv	PUNC	Adv	Interrog
kwaye	Conj	PUNC	Conj	Adv
i_yi_n_to_ni	CopPre_SC9_BPre9_NStem_InterrogSuf	NStem_NStem_NStem_NStem_NStem	CopPre_SC9_BPre9_NStem_InterrogSuf	BPre9_CopPre_BPre9_NStem_LocSuf
e_ku_funek_a	RelConc9_SC15_VRoot_VerbTerm	NStem_NStem_NStem_NStem	RelConc9_SC15_VRoot_VerbTerm	PossConc6_OC15_VRoot_VerbTerm
y_enz_iw_e	SC9_VRoot_PassExt_VerbTerm	VRoot_VRoot_VRoot_VRoot	SC9_VRoot_PassExt_VerbTerm	SC4_VRoot_PassExt_VerbTerm
.	Punc	PUNC	Punc	PUNC
E_nyan_isw_eni	LocPre_NStem_LocSuf	NStem_NStem_NStem_NStem	LocPre_NStem_LocSuf	LocPre_VRoot_CausExt_LocSuf
i_si_cwangciso	NPrePre7_BPre7_NStem	VRoot_VRoot_VRoot	NPrePre7_BPre7_NStem	NPrePre4_BPre7_NStem
se_projekthi	PossConc7_NPrePre9_NStem	NStem_NStem	PossConc7_NPrePre9_NStem	PossConc7_NStem
si_yi_n_tsi_ka	CopPre_CopPre_NPrePre9_BPre9_NStem	VRoot_NStem_VRoot_VRoot_VRoot	CopPre_CopPre_NPrePre9_BPre9_NStem	SC7_OC9_BPre9_NStem_ExclNeg
yo_lawulo	PossConc9_NPrePre11_BPre11_NStem	NStem_NStem	PossConc9_NPrePre11_BPre11_NStem	PossConc4_NStem
lwe_projekthi	PossConc11_NPrePre9_NStem	NStem_NStem	PossConc11_NPrePre9_NStem	PossConc11_NStem
.	Punc	PUNC	Punc	PUNC
S_enz_a	SC7_VRoot_VerbTerm	NStem_NStem_NStem	SC7_VRoot_VerbTerm	SC1_VRoot_VerbTerm
i_si_se_ko	NPrePre7_BPre7_NStem	NStem_NStem_NStem_NStem	NPrePre7_BPre7_NStem	NPrePre4_BPre7_PossConc7_RelSuf
a_pho	Dem16_Pos2	PUNC_PUNC	Dem16_Pos2	PossConc6_PronStem6
i_m_pumelelo	NPrePre9_BPre9_NStem	NStem_NStem_NStem	NPrePre9_BPre9_NStem	NPrePre9_BPre3_NStem
ye_projekthi	PossConc9_NPrePre9_NStem	NStem_NStem	PossConc9_NPrePre9_NStem	PossConc9_NStem
i_l_el_e	SC9_VRoot_VerbTerm	NStem_NStem_NStem_NStem	SC9_VRoot_VerbTerm	SC9_VRoot_ApplExt_VerbTerm
khona	Adv	PUNC	Adv	Adv
.	Punc	PUNC	Punc	PUNC
Zi_ninzi	CopPre_AdjStem	NStem_NStem	CopPre_AdjStem	AdjPref7_AdjStem
i_zi_zathu	NPrePre8_BPre8_NStem	NStem_NStem_NStem	NPrePre8_BPre8_NStem	NPrePre4_BPre7_NStem
zo_ku_vel_a	PossConc8_NPrePre15_BPre15_VRoot_VerbTerm	NStem_NStem_NStem_NStem	PossConc8_NPrePre15_BPre15_VRoot_VerbTerm	AdvPre_OC15_VRoot_VerbTerm
ko_ngquzulwano	PossConc15_NPrePre11_NStem	NStem_VRoot	PossConc15_NPrePre11_NStem	QuantConc15_NStem
.	Punc	PUNC	Punc	PUNC
Olu_nye	AdjPref11_AdjStem	PUNC_PUNC	AdjPref11_AdjStem	AdjPref11_EnumStem
'	Punc	PUNC	Punc	PUNC
lu_nga_yi_nene	CopPre_Pot_CopPre_NPrePre9_NStem	NStem_NStem_NStem_NStem	CopPre_Pot_CopPre_NPrePre9_NStem	BPre11_AdvPre_OC9_NStem
'	Punc	PUNC	Punc	PUNC
olu_nye	AdjPref11_AdjStem	PUNC_PUNC	AdjPref11_AdjStem	AdjPref11_AdjStem
'	Punc	PUNC	Punc	PUNC
