!	![Punc]
"	"[Punc]
sibonelo	si[BPre]-bonelo[NStem]
siciniseko	si[BPre]-ciniseko[NStem]
sidzingo	sidzingo[NStem]
sikhatsi	si[BPre]-khatsi[NStem]
simo	si[BPre]-mo[NStem]
sinyatselo	si[BPre]-nyatselo[NStem]
siphakamisomtsetfo	siphakamisomtsetfo[NStem]
sisekelo	si[BPre]-sekelo[NStem]
sitatimende	sitatimende[NStem]
sitawugcila	sitawugcila[NStem]
sitinake	sitinake[NStem]
situngeletane	situngeletane[NStem]
sivuma	sivuma[NStem]
sizatfu	sizatfu[NStem]
smith	smith[ProperName]
sodolobha	sodolobha[NStem]
somafa	somafa[NStem]
somiso	somiso[NStem]
sona	sona[AbsPron]
sonkhe	so[QuantConc]-nkhe[QuantStem]
south	south[Foreign]
state	state[ProperName]
system	system[Foreign]
tabo	ta[PossConc]-bo[PronStem]
talo	talo[NStem]
tamasipala	ta[PossConc]-masipala[NStem]
tasemakhaya	ta[PossConc]-s[PreLoc-s]-e[LocPre]-ma[BPre]-khaya[NStem]
tawo	tawo[NStem]
tayo	tayo[NStem]
tebameleli	tebameleli[NStem]
tekungalingani	tekungalingani[NStem]
telabatibandzakanyako	telabatibandzakanyako[NStem]
telisu	telisu[NStem]
temnotfo	temnotfo[NStem]
temphilo	temphilo[NStem]
temtfolamphilo	temtfolamphilo[NStem]
tenchubo	tenchubo[NStem]
tenhlalo	tenhlalo[NStem]
tentfutfuko	tentfutfuko[NStem]
tesive	tesive[NStem]
tetenhlalo	tetenhlalo[NStem]
tetidzingo	tetidzingo[NStem]
tetigungu	tetigungu[NStem]
tetimali	tetimali[NStem]
tetindleko	tetindleko[NStem]
tfola	tfola[NStem]
the	the[Foreign]
tibane	tibane[NStem]
tibe	tibe[NStem]
tibhebhetelise	tibhebhetelise[NStem]
tifiso	tifiso[NStem]
tifundvo	ti[BPre]-fundvo[NStem]
tikhungo	ti[BPre]-khungo[NStem]
tilwimi	tilwimi[NStem]
timo	ti[BPre]-mo[NStem]
tincetfu	tincetfu[NStem]
tinelilungelo	tinelilungelo[NStem]
tingucuko	tin[BPre]-gucuko[NStem]
tinhlaka	tin[BPre]-hlaka[NStem]
tinhlangano	tin[BPre]-hlangano[NStem]
tinhloso	tin[BPre]-hloso[NStem]
tini	tini[Interrog]
tinkinga	tin[BPre]-kinga[NStem]
tinsayeya	tin[BPre]-sayeya[NStem]
tinyatselo	ti[BPre]-nyatselo[NStem]
tiphakamiso	ti[BPre]-phakamiso[NStem]
tisetulu	tisetulu[NStem]
titatimende	titatimende[NStem]
titfolwe	titfolwe[NStem]
tivala	tivala[NStem]
tizatfu	tizatfu[NStem]
together	together[Foreign]
tona	tona[AbsPron]
tonkhe	to[QuantConc]-nkhe[QuantStem]
tsatsani	tsatsani[NStem]
tshwane	tshwane[ProperName]
ttemnotfo	ttemnotfo[NStem]
ube	u[SC]-b[VRoot]-e[VerbTerm]
ukhombisa	u[SC]-khomb[VRoot]-is[CausExt]-a[VerbTerm]
uma	uma[Conj]
umangabe	umangabe[Conj]
umbiko	u[NPrePre]-mu[BPre]-biko[NStem]
umbono	u[NPrePre]-mu[BPre]-bono[NStem]
umehluleli	u[NPrePre]-mu[BPre]-ehluleli[NStem]
umhlangano	umhlangano[NStem]
umklamo	u[NPrePre]-mu[BPre]-klamo[NStem]
ummango	u[NPrePre]-mu[BPre]-mango[NStem]
umnotfo	u[NPrePre]-mu[BPre]-notfo[NStem]
umphumela	umphumela[NStem]
umuntfu	u[NPrePre]-mu[BPre]-ntfu[NStem]
umzimvubu	umzimvubu[ProperName]
ungabe	ungabe[Interrog]
uphindze	u[SC]-phindz[VRoot]-e[VerbTerm]
usebentisa	u[SC]-sebent[VRoot]-is[CausExt]-a[VerbTerm]
vo	vo[Ideoph]
wa	wa[PossConc]
wabo	wa[PossConc]-bo[PronStem]
wadi	wadi[NStem]
wakho	wa[PossConc]-kho[PronStem]
wakini	wakini[NStem]
wakitsi	wakitsi[NStem]
walo	wa[PossConc]-lo[PronStem]
wangasese	wa[PossConc]-nga[AdvPre]-sese[Adv]
wasekhaya	wasekhaya[NStem]
water	water[Foreign]
we	wa[PossConc]
webafati	webafati[NStem]
webaniyo	webaniyo[NStem]
wekuba	wekuba[NStem]
welive	welive[NStem]
wemfati	wemfati[NStem]
wena	wena[AbsPron]
wenyanga	wenyanga[NStem]
wesikhashana	wa[PossConc]-si[BPre]-khashana[NStem]
wid	wid[Abbr]
win	win[Foreign]
wona	wona[AbsPron]
wonkhe	wo[QuantConc]-nkhe[QuantStem]
wonkhewonkhe	wonkhewonkhe[NStem]
works	works[Foreign]
x	x[Foreign]
xyz	xyz[Abbr]
yabo	ya[PossConc]-bo[PronStem]
yahulumende	ya[PossConc]-hulumende[NStem]
yakho	ya[PossConc]-kho[PronStem]
yalokubekwa	yalokubekwa[NStem]
yamasipala	ya[PossConc]-masipala[NStem]
yavelonkhe	yavelonkhe[NStem]
yawo	ya[PossConc]-wo[PronStem]
yekuhlela	ya[PossConc]-ku[BPre]-hlel[VRoot]-a[VerbTerm]
yekutsu	yekutsu[NStem]
yeliningi	yeliningi[NStem]
yelizinga	yelizinga[NStem]
yeluhlaka	yeluhlaka[NStem]
yemmango	ya[PossConc]-u[NPrePre]-mu[BPre]-mango[NStem]
yena	yena[AbsPron]
yenkinga	yenkinga[NStem]
yetikhungo	yetikhungo[NStem]
yetimiso	yetimiso[NStem]
yindvodza	yindvodza[NStem]
yindzima	yindzima[NStem]
yini	yini[Interrog]
yonkhe	yo[QuantConc]-nkhe[QuantStem]
z	z[Foreign]
zungu	zungu[ProperName]
