!	![Punc]
"	"[Punc]
phephileko	phephileko[NStem]
phezu	phezu[Adv]
phezulu	phezulu[Adv]
phrofetjhinali	phrofetjhinali[NStem]
placate	placate[Foreign]
projector	projector[Foreign]
provincial	provincial[Foreign]
qala	qal[VRoot]-a[VerbTerm]
qalani	qalani[NStem]
qho	qho[NStem]
r&d	r&d[Abbr]
resources	resources[Foreign]
return	return[Foreign]
rwe	rwe[Ideoph]
sadc	sadc[Abbr]
salaam	salaam[ProperName]
salga	salga[Abbr]
sele	sele[NStem]
service	service[Foreign]
setting	setting[Foreign]
sibiza	sibiza[NStem]
sibize	sibize[NStem]
sicocisane	sicocisane[ProperName]
sigaba	sigaba[NStem]
sihlukaniswe	sihlukaniswe[NStem]
sikhethe	sikhethe[NStem]
sikhula	sikhula[NStem]
silinga	silinga[NStem]
sinesiqiniseko	sinesiqiniseko[NStem]
sinzinze	sinzinze[NStem]
siphathimandla	siphathimandla[NStem]
sipholisa	sipholisa[NStem]
siphutha	siphutha[NStem]
siquntwe	siquntwe[NStem]
sithandathu	sithandathu[NStem]
sitjhidiselwe	sitjhidiselwe[NStem]
sitjhugulule	sitjhugulule[NStem]
siviko	siviko[NStem]
smith	smith[ProperName]
sokobana	so[PossConc]-kobana[NStem]
solo	solo[NStem]
somphakathi	sa[PossConc]-u[NPrePre]-mu[BPre]-phakathi[NStem]
state	state[Foreign]
states	states[ProperName]
stipulates	stipulates[Foreign]
systems	systems[Foreign]
that	that[Foreign]
the	the[Foreign]
thize	thize[NStem]
thoma	thoma[NStem]
thwi	thwi[NStem]
tjengisa	tjengisa[ProperName]
tjhatjhalazi	tjhatjhalazi[NStem]
tjheja	tjheja[NStem]
tle	tle[Ideoph]
tlola	tlola[ProperName]
together	together[Foreign]
ube	u[SC]-b[VRoot]-e[VerbTerm]
ubulili	u[NPrePre]-bu[BPre]-lili[NStem]
ubuncani	u[NPrePre]-bu[BPre]-ncani[NStem]
ubunikazi	u[NPrePre]-bu[BPre]-nikazi[NStem]
ufuna	u[SC]-fun[VRoot]-a[VerbTerm]
ukobana	ukobana[Conj]
ukuba	ukuba[Conj]
ukufaka	u[NPrePre]-ku[BPre]-fak[VRoot]-a[VerbTerm]
ukulalela	u[NPrePre]-ku[BPre]-lalel[VRoot]-a[VerbTerm]
ukuqinisekisa	u[NPrePre]-ku[BPre]-qinis[VRoot]-ek[NeutExt]-is[CausExt]-a[VerbTerm]
ukusiza	u[NPrePre]-ku[BPre]-siz[VRoot]-a[VerbTerm]
ukuthi	ukuthi[Conj]
ukuthoma	u[NPrePre]-ku[BPre]-thom[VRoot]-a[VerbTerm]
ukuthuthukisa	u[NPrePre]-ku[BPre]-thuthuk[VRoot]-is[CausExt]-a[VerbTerm]
ukutjheja	u[NPrePre]-ku[BPre]-tjheja[NStem]
ukuveza	u[NPrePre]-ku[BPre]-vez[VRoot]-a[VerbTerm]
ukuya	u[NPrePre]-ku[BPre]-y[VRoot]-a[VerbTerm]
ukuze	ukuze[Conj]
ukuzibandakanya	u[NPrePre]-ku[BPre]-zi[OC]-bandakany[VRoot]-a[VerbTerm]
ukwazi	u[NPrePre]-ku[BPre]-az[VRoot]-i[VerbTerm]
ukwenzela	u[NPrePre]-ku[BPre]-enz[VRoot]-el[ApplExt]-a[VerbTerm]
ukwenziwa	u[NPrePre]-ku[BPre]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
ukwethulwa	u[SC]-kwe[BPre]-thul[VRoot]-w[PassExt]-a[VerbTerm]
umahlangu	umahlangu[ProperName]
umali	umali[ProperName]
umasipala	u[NPrePre]-masipala[NStem]
umathabo	umathabo[ProperName]
umbeki	umbeki[ProperName]
umbono	u[NPrePre]-mu[BPre]-bono[NStem]
umbuso	u[NPrePre]-mu[BPre]-buso[NStem]
umbuzo	u[NPrePre]-mu[BPre]-buzo[NStem]
umkghonakalisi	u[NPrePre]-m[BPre]-kghonakalisi[NStem]
umkhandlu	u[NPrePre]-mu[BPre]-khandlu[NStem]
umlamuli	u[NPrePre]-m[BPre]-lamuli[NStem]
umleyo	u[NPrePre]-m[BPre]-leyo[NStem]
umnotho	u[NPrePre]-mu[BPre]-notho[NStem]
umnqopho	u[NPrePre]-m[BPre]-nqopho[NStem]
umphakathi	u[NPrePre]-mu[BPre]-phakathi[NStem]
umphumela	u[NPrePre]-mu[BPre]-phumela[NStem]
umraro	u[NPrePre]-m[BPre]-raro[NStem]
umthethosisekelo	u[NPrePre]-m[BPre]-thethosisekelo[NStem]
umtlamo	u[NPrePre]-m[BPre]-tlamo[NStem]
umuntu	u[NPrePre]-mu[BPre]-ntu[NStem]
umzombe	u[NPrePre]-mu[BPre]-zombe[NStem]
usmith	usmith[ProperName]
uthabo	uthabo[ProperName]
vumelanani	vumelanani[NStem]
wabantu	wa[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
wabo	wa[PossConc]-bo[PronStem]
wadi	wadi[NStem]
water	water[Foreign]
wawo	wa[PossConc]-wo[PronStem]
wee-2030	we[PossConc]-e[LocPre]-2030[Num]
wemisebenzi	wa[PossConc]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
wewadi	we[PossConc]-wadi[NStem]
wezomnotho	we[PossConc]-zomnotho[NStem]
woke	wo[QuantConc]-ke[QuantStem]
wombuso	wa[PossConc]-u[NPrePre]-mu[BPre]-buso[NStem]
womphakathi	wa[PossConc]-u[NPrePre]-mu[BPre]-phakathi[NStem]
womsebenzi	wa[PossConc]-u[NPrePre]-mu[BPre]-sebenzi[NStem]
working	working[Foreign]
x	x[Foreign]
xyz	xyz[Abbr]
yabasebenzi	ya[PossConc]-a[NPrePre]-ba[BPre]-sebenzi[NStem]
yabo	ya[PossConc]-bo[PronStem]
yawo	ya[PossConc]-wo[PronStem]
yayo	ya[PossConc]-yo[PronStem]
ye	ye[NStem]
ye-	ye[PossConc]
ye-cbp	ye[PossConc]-cbp[Abbr]
ye-idp	ye[PossConc]-idp[Abbr]
yekambiso	ye[PossConc]-kambiso[NStem]
yeke	yeke[Ideoph]
yelizwe	ya[PossConc]-i[NPrePre]-li[BPre]-zwe[NStem]
yembe	yembe[NStem]
yemisebenzi	ya[PossConc]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
yenengi	ya[PossConc]-e[AdjPref]-nengi[AdjStem]
yenza	i[SC]-enz[VRoot]-a[VerbTerm]
yenziwe	i[SC]-enz[VRoot]-iw[PassExt]-e[VerbTerm]
yikomidi	yi[CopPre]-komidi[NStem]
yini	yi[CopPre]-ni[Interrog]
yoke	yo[QuantConc]-ke[QuantStem]
yokobana	yokobana[Adv]
yokuthuthukisa	ya[PossConc]-u[NPrePre]-ku[BPre]-thuthuk[VRoot]-is[CausExt]-a[VerbTerm]
yokutlama	yo[PossConc]-ku[BPre]-tlama[NStem]
yombuso	ya[PossConc]-u[NPrePre]-mu[BPre]-buso[NStem]
yomphakathi	ya[PossConc]-u[NPrePre]-mu[BPre]-phakathi[NStem]
z	z[Foreign]
zabantu	za[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
zabo	za[PossConc]-bo[PronStem]
zawo	za[PossConc]-wo[PronStem]
zazo	za[PossConc]-zo[PronStem]
zikhona	zi[BPre]-khona[NStem]
zinqotjhaniswa	zinqotjhaniswa[NStem]
zoke	zo[QuantConc]-ke[QuantStem]
zokuhlala	za[PossConc]-u[NPrePre]-ku[BPre]-hlal[VRoot]-a[VerbTerm]
zokwenza	za[PossConc]-u[NPrePre]-ku[BPre]-enz[VRoot]-a[VerbTerm]
zombelele	zombelele[NStem]
zombuso	za[PossConc]-u[NPrePre]-mu[BPre]-buso[NStem]
zomnotho	za[PossConc]-u[NPrePre]-mu[BPre]-notho[NStem]
zomphakathi	za[PossConc]-u[NPrePre]-mu[BPre]-phakathi[NStem]
zungu	zungu[ProperName]
