!	![Punc]
"	"[Punc]
neenkonzo	na[AdvPre]-i[NPrePre]-in[BPre]-konzo[NStem]
neenkqubo	na[AdvPre]-i[NPrePre]-in[BPre]-kqubo[NStem]
neeprojekthi	na[AdvPre]-i[NPrePre]-i[BPre]-projekthi[NStem]
nekomiti	na[AdvPre]-i[NPrePre]-komiti[NStem]
nemiba	na[AdvPre]-i[NPrePre]-mi[BPre]-ba[NStem]
nemibutho	na[AdvPre]-i[NPrePre]-mi[BPre]-butho[NStem]
nemisebenzi	na[AdvPre]-i[NPrePre]-mi[BPre]-sebenzi[NStem]
nendlela	na[AdvPre]-i[NPrePre]-n[BPre]-dlela[NStem]
nengomso	nengomso[Adv]
nenkqubo	na[AdvPre]-i[NPrePre]-n[BPre]-kqubo[NStem]
neqela	na[AdvPre]-i[NPrePre]-qela[NStem]
nesicwangciso	na[AdvPre]-i[NPrePre]-si[BPre]-cwangciso[NStem]
nezakhono	na[AdvPre]-i[NPrePre]-zi[BPre]-khono[NStem]
nezinto	na[AdvPre]-i[NPrePre]-zin[BPre]-to[NStem]
nezinye	na[AdvPre]-ezi[AdjPref]-nye[AdjStem]
ngaba	ngaba[Conj]
ngabe	ngabe[AuxVStem]
ngakumbi	ngakumbi[Adv]
ngale	nga[AdvPre]-le[Dem+Pos]
ngalinye	nga[AdvPre]-li[EnumConc]-nye[EnumStem]
ngamnye	nga[AdvPre]-m[EnumConc]-nye[EnumStem]
nganye	nga[AdvPre]-nye[EnumStem]
ngaphambi	nga[AdvPre]-phambi[Adv]
ngaphandle	nga[AdvPre]-phandle[Adv]
ngathi	ngathi[Adv]
ngayo	nga[AdvPre]-yo[PronStem]
ngazo	nga[AdvPre]-zo[PronStem]
ngcono	ngcono[Adv]
ngeendlela	nga[AdvPre]-i[NPrePre]-in[BPre]-dlela[NStem]
ngeenjongo	nga[AdvPre]-i[NPrePre]-in[BPre]-jongo[NStem]
ngemiba	nga[AdvPre]-i[NPrePre]-mi[BPre]-ba[NStem]
ngempumelelo	nga[AdvPre]-i[NPrePre]-m[BPre]-phumelelo[NStem]
ngendlela	nga[AdvPre]-i[NPrePre]-n[BPre]-dlela[NStem]
ngeniso	ngeniso[NStem]
ngenxa	ngenxa[Conj]
ngethuba	nga[AdvPre]-i[NPrePre]-thuba[NStem]
ngexa	ngenxa[Conj]
ngexesha	nga[AdvPre]-i[NPrePre]-xesha[NStem]
ngo	ngo[Abbr]
ngoko	nga[AdvPre]-oko[Dem+Pos]
ngoku	ngoku[Adv]
ngokuba	nga[AdvPre]-ukuba[Conj]
ngokukhawuleza	nga[AdvPre]-u[NPrePre]-ku[BPre]-khawulez[VRoot]-a[VerbTerm]
ngokulinganayo	nga[AdvPre]-oku[RelConc]-lingan[VRoot]-a[VerbTerm]-yo[RelSuf]
ngokupheleleyo	nga[AdvPre]-oku[RelConc]-phelel[VRoot]-e[VerbTerm]-yo[RelSuf]
ngokusebenzisa	nga[AdvPre]-u[NPrePre]-ku[BPre]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
ngokuthe	nga[AdvPre]-oku[RelConc]-th[VRoot]-e[VerbTerm]
ngokutsha	nga[AdvPre]-oku[AdjPref]-tsha[AdjStem]
ngokwamaqela	nga[AdvPre]-okwa[AdvPre]-a[NPrePre]-ma[BPre]-qela[NStem]
ngokwenza	nga[AdvPre]-u[NPrePre]-ku[BPre]-enz[VRoot]-a[VerbTerm]
ngokwesini	nga[AdvPre]-okwa[AdvPre]-i[NPrePre]-si[BPre]-ni[NStem]
ngonyaka	nga[AdvPre]-u[NPrePre]-nyaka[NStem]
ngowama-2030	nga[AdvPre]-o[RelConc]-wa[PossConc]-a[NPrePre]-ma[BPre]-2030[Num]
ngqo	ngqo[Ideoph]
ngquzulwano	ngquzulwano[NStem]
ngubani	ng[CopPre]-u[NPrePre]-bani[Interrog]
nini	nini[Adv]
njalo	njalo[Adv]
njani	njani[Adv]
nje	nje[Adv]
njengendlela	njenga[AdvPre]-i[NPrePre]-n[BPre]-dlela[NStem]
njengoko	njenga[AdvPre]-oko[Dem+Pos]
njengokuba	njenga[AdvPre]-ukuba[Conj]
njl	njl[Abbr]
njl.	njl.[Abbr]
nkosi	nkosi[ProperName]
nkqu	nkqu[Adv]
no	no[Abbr]
noba	noba[Conj]
noceba	na[AdvPre]-u[NPrePre]-ceba[NStem]
noko	noko[Adv]
nokuba	na[AdvPre]-ukuba[Conj]
nokungalingani	na[AdvPre]-u[NPrePre]-ku[BPre]-nga[NegPre]-lingan[VRoot]-i[VerbTerm]
nokunika	na[AdvPre]-u[NPrePre]-ku[BPre]-nik[VRoot]-a[VerbTerm]
nokuqinisekisa	na[AdvPre]-u[NPrePre]-ku[BPre]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]
nokusebenza	na[AdvPre]-u[NPrePre]-ku[BPre]-sebenz[VRoot]-a[VerbTerm]
nokwandisa	na[AdvPre]-u[NPrePre]-ku[BPre]-and[VRoot]-is[CausExt]-a[VerbTerm]
nolawulo	na[AdvPre]-u[NPrePre]-lawulo[NStem]
noluntu	na[AdvPre]-u[NPrePre]-lu[BPre]-ntu[NStem]
nolwazi	na[AdvPre]-u[NPrePre]-lu[BPre]-azi[NStem]
nomsebenzi	na[AdvPre]-u[NPrePre]-m[BPre]-sebenzi[NStem]
nonikezelo	na[AdvPre]-u[NPrePre]-nikezelo[NStem]
nophuhliso	na[AdvPre]-u[NPrePre]-phuhliso[NStem]
norhulumente	na[AdvPre]-u[NPrePre]-rhulumente[NStem]
nqanam	nqanam[NStem]
nto	n[BPre]-to[NStem]
ntoni	ntoni[Interrog]
ntsho	ntsho[Ideoph]
nxulumano	nxulumano[NStem]
nyaka	nyaka[NStem]
nyathelo	nyathelo[NStem]
nzima	nzima[RelStem]
nzulu	nzulu[RelStem]
o.k.t.	o.k.t.[Abbr]
obu	obu[Dem+Pos]
of	of[Foreign]
ofisi	ofisi[NStem]
okanye	okanye[Conj]
oko	oko[Dem+Pos]
okoko	okoko[Adv]
okt.	okt.[Abbr]
oku	oku[Dem+Pos]
okunye	okunye[Conj]
olandelayo	o[RelConc]-landel[VRoot]-a[VerbTerm]-yo[RelSuf]
olo	olo[Dem+Pos]
olu	olu[Dem+Pos]
olumanyanisiweyo	olu[RelConc]-many[VRoot]-an[RecipExt]-is[CausExt]-iw[PassExt]-e[VerbTerm]-yo[RelSuf]
oluntu	a[PossConc]-u[NPrePre]-lu[BPre]-ntu[NStem]
olunye	olu[AdjPref]-nye[AdjStem]
omnye	om[AdjPref]-nye[AdjStem]
ongezantsi	o[RelConc]-nga[AdvPre]-e[LocPre]-zantsi[Adv]
onke	o[QuantConc]-nke[QuantStem]
oomasipala	oo[NPrePre]-masipala[NStem]
organisation	organisation[Foreign]
orientations	orientations[Foreign]
othile	o[RelConc]-th[VRoot]-ile[Perf]
pack	pack[Foreign]
participation	participation[Foreign]
partnerships	partnerships[Foreign]
pasile	pasile[NStem]
patheni	patheni[NStem]
pcm	pcm[Abbr]
pele	pele[ProperName]
phakathi	phakathi[Adv]
phambi	phambi[Adv]
phambili	phambili[Adv]
phandle	phandle[Adv]
phantsi	phantsi[Adv]
phawu	phawu[NStem]
phaya	phaya[Dem+Pos]
phepha	phepha[NStem]
phezu	phezu[Adv]
phezulu	phezulu[Adv]
phi	phi[Interrog]
phinda	phinda[AuxVStem]
phononongo	phononongo[NStem]
plan	plan[Foreign]
planning	planning[Foreign]
pms	pms[Abbr]
poa	poa[Abbr]
ppp	ppp[Abbr]
private	private[Foreign]
programme	programme[Foreign]
project	project[Foreign]
projector	projector[Foreign]
projektha	projektha[NStem]
projekthi	projekthi[NStem]
property	property[Foreign]
public	public[Foreign]
qatha	qatha[Ideoph]
qela	qela[NStem]
qha	qha[Adv]
qho	qho[Ideoph]
qonga	qonga[NStem]
qoqosho	qoqosho[NStem]
qwalasela	qwalasel[VRoot]-a[VerbTerm]
r&d	r&d[Abbr]
rates	rates[Foreign]
relations	relations[Foreign]
representative	representative[Foreign]
responsive	responsive[Foreign]
result	result[Foreign]
revenue	revenue[Foreign]
rhoqo	rhoqo[Ideoph]
saa	saa[Ideoph]
sadc	sadc[Abbr]
salaam	salaam[ProperName]
salga	salga[Abbr]
sdip	sdip[Abbr]
sebe	sebe[NStem]
sebenzisa	sebenz[VRoot]-is[CausExt]-a[VerbTerm]
sele	sele[AuxVStem]
septemba	septemba[ProperName]
seshoni	seshoni[NStem]
sewadi	sa[PossConc]-i[NPrePre]-wadi[NStem]
sexual	sexual[Foreign]
shushu	shushu[Adv]
sicwangciso	si[BPre]-cwangciso[NStem]
sifuna	si[SC]-fun[VRoot]-a[VerbTerm]
simahla	simahla[Adv]
sisixhobo	s[CopPre]-i[NPrePre]-si[BPre]-xhobo[NStem]
smith	smith[ProperName]
sodolophu	sodolophu[NStem]
sokuba	sa[PossConc]-ukuba[Conj]
sophuhliso	sa[PossConc]-u[NPrePre]-phuhliso[NStem]
specific	specific[Foreign]
state	state[ProperName]
states	states[ProperName]
structures	structures[Foreign]
systems	systems[Foreign]
task	task[Foreign]
tb	tb[Abbr]
teams	teams[Foreign]
thaca	thaca[Ideoph]
the	the[Foreign]
together	together[Foreign]
transition	transition[Foreign]
transport	transport[Foreign]
tse	tse[Ideoph]
tshintsho	tshintsho[NStem]
tshiphu	tshiphu[Adv]
tshitshilili	tshitshilili[Ideoph]
tyala	tyala[NStem]
tye	tye[Ideoph]
ubomi	u[NPrePre]-bomi[NStem]
ubuhlwempu	u[NPrePre]-bu[BPre]-hlwempu[NStem]
ubulunga	u[NPrePre]-bu[BPre]-lunga[NStem]
ubume	u[NPrePre]-bu[BPre]-me[NStem]
uceba	u[NPrePre]-ceba[NStem]
udliwano-ndlebe	u[NPrePre]-dliwano[NStem]-n[BPre]-dlebe[NStem]
ufuna	u[SC]-fun[VRoot]-a[VerbTerm]
uhlahlo	u[NPrePre]-hlahlo[NStem]
uhlalutyo	u[NPrePre]-hlalutyo[NStem]
ukuba	ukuba[Conj]
ukubandakanywa	u[NPrePre]-ku[BPre]-bandakany[VRoot]-w[PassExt]-a[VerbTerm]
ukufikelela	u[NPrePre]-ku[BPre]-fikelel[VRoot]-a[VerbTerm]
ukufumana	u[NPrePre]-ku[BPre]-fuman[VRoot]-a[VerbTerm]
ukukhula	u[NPrePre]-ku[BPre]-khul[VRoot]-a[VerbTerm]
ukukhuthaza	u[NPrePre]-ku[BPre]-khuthaz[VRoot]-a[VerbTerm]
ukulingana	u[NPrePre]-ku[BPre]-lingan[VRoot]-a[VerbTerm]
ukumamela	u[NPrePre]-ku[BPre]-mamel[VRoot]-a[VerbTerm]
ukungafani	u[NPrePre]-ku[BPre]-nga[NegPre]-fan[VRoot]-i[VerbTerm]
ukungalingani	u[NPrePre]-ku[BPre]-nga[NegPre]-lingan[VRoot]-i[VerbTerm]
ukunika	u[NPrePre]-ku[BPre]-nik[VRoot]-a[VerbTerm]
ukunikezela	u[NPrePre]-ku[BPre]-nikezel[VRoot]-a[VerbTerm]
ukuphucula	u[NPrePre]-ku[BPre]-phucul[VRoot]-a[VerbTerm]
ukuphuhlisa	u[NPrePre]-ku[BPre]-phuhl[VRoot]-is[CausExt]-a[VerbTerm]
ukuphumeza	u[NPrePre]-ku[BPre]-phumez[VRoot]-a[VerbTerm]
ukuqinisekisa	u[NPrePre]-ku[BPre]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]
ukuqonda	u[NPrePre]-ku[BPre]-qond[VRoot]-a[VerbTerm]
ukuquka	u[NPrePre]-ku[BPre]-quk[VRoot]-a[VerbTerm]
ukusebenza	u[NPrePre]-ku[BPre]-sebenz[VRoot]-a[VerbTerm]
ukusuka	u[NPrePre]-ku[BPre]-suk[VRoot]-a[VerbTerm]
ukuthatha	u[NPrePre]-ku[BPre]-thath[VRoot]-a[VerbTerm]
ukutshintsha	u[NPrePre]-ku[BPre]-tshintsh[VRoot]-a[VerbTerm]
ukuze	ukuze[Conj]
ukwakha	u[NPrePre]-ku[BPre]-akh[VRoot]-a[VerbTerm]
ukwandisa	u[NPrePre]-ku[BPre]-and[VRoot]-is[CausExt]-a[VerbTerm]
ukwenzela	u[NPrePre]-ku[BPre]-enz[VRoot]-el[ApplExt]-a[VerbTerm]
ukwenziwa	u[NPrePre]-ku[BPre]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
ulawulo	u[NPrePre]-lawulo[NStem]
uludwe	u[NPrePre]-lu[BPre]-dwe[NStem]
uluhlu	u[NPrePre]-lu[BPre]-hlu[NStem]
uluntu	u[NPrePre]-lu[BPre]-ntu[NStem]
ulwazi	u[NPrePre]-lu[BPre]-azi[NStem]
umasipala	u[NPrePre]-masipala[NStem]
umba	u[NPrePre]-m[BPre]-ba[NStem]
umbhexeshi	u[NPrePre]-m[BPre]-bhexeshi[NStem]
umbono	u[NPrePre]-m[BPre]-bono[NStem]
umbuzo	u[NPrePre]-m[BPre]-buzo[NStem]
umgangatho	u[NPrePre]-m[BPre]-gangatho[NStem]
umgaqo-siseko	u[NPrePre]-m[BPre]-gaqo[NStem]-si[BPre]-seko[NStem]
umjikelo	u[NPrePre]-m[BPre]-jikelo[NStem]
umlinganiselo	u[NPrePre]-m[BPre]-linganiselo[NStem]
umntu	u[NPrePre]-m[BPre]-ntu[NStem]
umsebenzi	u[NPrePre]-m[BPre]-sebenzi[NStem]
umthetho	u[NPrePre]-m[BPre]-thetho[NStem]
umxolelanisi	u[NPrePre]-m[BPre]-xolelanisi[NStem]
umz	umz[Abbr]
umz.	umz.[Abbr]
umzantsi	u[NPrePre]-mzantsi[ProperName]
umzekelo	u[NPrePre]-m[BPre]-zekelo[NStem]
ungquzulwano	u[NPrePre]-ngquzulwano[NStem]
unikezelo	u[NPrePre]-nikezelo[NStem]
uninzi	u[NPrePre]-ninzi[NStem]
unxibelelwano	u[NPrePre]-nxibelelwano[NStem]
uphicotho	u[NPrePre]-phicotho[NStem]
uphuhliso	u[NPrePre]-phuhliso[NStem]
uqoqosho	u[NPrePre]-qoqosho[NStem]
urhulumente	u[NPrePre]-rhulumente[NStem]
urhwaphilizo	u[NPrePre]-rhwaphilizo[NStem]
uthungelwano	u[NPrePre]-thungelwano[NStem]
utyalo-mali	u[NPrePre]-tyalo[NStem]-mali[NStem]
uvavanyo	u[NPrePre]-vavanyo[NStem]
uxanduva	u[NPrePre]-xanduva[NStem]
uze	u[SC]-ze[AuxVStem]
vetshe	vetshe[Ideoph]
vimba	vimba[NStem]
wabo	wa[PossConc]-bo[PronStem]
wadi	wadi[NStem]
wakho	wa[PossConc]-kho[PossPron]
water	water[Foreign]
weengingqi	wa[PossConc]-i[NPrePre]-in[BPre]-gingqi[NStem]
wenkonzo	wa[PossConc]-i[NPrePre]-n[BPre]-khonzo[NStem]
weprojekthi	wa[PossConc]-i[NPrePre]-projekthi[NStem]
wewadi	wa[PossConc]-i[NPrePre]-wadi[NStem]
wokusebenza	wa[PossConc]-u[NPrePre]-ku[BPre]-sebenz[VRoot]-a[VerbTerm]
wonke	wo[QuantConc]-nke[QuantStem]
wophuhliso	wa[PossConc]-u[NPrePre]-phuhliso[NStem]
working	working[Foreign]
x	x[Foreign]
xa	xa[Conj]
xabiso	xabiso[NStem]
xanduva	xanduva[NStem]
xesha	xesha[NStem]
xhaxhe	xhaxhe[Ideoph]
xinezelelo	xinezelelo[NStem]
xyz	xyz[Abbr]
yabahlali	ya[PossConc]-a[NPrePre]-ba[BPre]-hlali[NStem]
yabantu	ya[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
yabo	ya[PossConc]-bo[PronStem]
yakhe	ya[PossConc]-khe[PossPron]
yakho	ya[PossConc]-kho[PossPron]
yamaqela	ya[PossConc]-a[NPrePre]-ma[BPre]-qela[NStem]
yantlukwano	yantlukwano[NStem]
yasekuhlaleni	ya[PossConc]-s[PreLoc-s]-e[LocPre]-u[NPrePre]-ku[BPre]-hlal[VRoot]-a[VerbTerm]-ini[LocSuf]
yawo	ya[PossConc]-wo[PronStem]
yayo	ya[PossConc]-yo[PronStem]
yazo	ya[PossConc]-zo[PronStem]
ye-cbp	ya[PossConc]-i[NPrePre]-cbp[Abbr]
ye-idp	ya[PossConc]-i[NPrePre]-idp[Abbr]
yebhunga	ya[PossConc]-i[NPrePre]-bhunga[NStem]
yekomiti	ya[PossConc]-i[NPrePre]-komiti[NStem]
yenkqubo	ya[PossConc]-i[NPrePre]-n[BPre]-kqubo[NStem]
yesicwangciso	ya[PossConc]-i[NPrePre]-si[BPre]-cwangciso[NStem]
yewadi	ya[PossConc]-i[NPrePre]-wadi[NStem]
yeyiphi	y[CopPre]-e[RelConc]-yi[EnumConc]-phi[EnumStem]
yikomiti	y[CopPre]-i[NPrePre]-komiti[NStem]
yindlela	y[CopPre]-i[NPrePre]-n[BPre]-dlela[NStem]
yinkqubo	y[CopPre]-i[NPrePre]-n[BPre]-kqubo[NStem]
yintoni	yi[CopPre]-n[BPre]-to[NStem]-ni[InterrogSuf]
yohlahlo	ya[PossConc]-u[NPrePre]-hlahlo[NStem]
yokuba	ya[PossConc]-ukuba[Conj]
yokusebenza	ya[PossConc]-u[NPrePre]-ku[BPre]-sebenz[VRoot]-a[VerbTerm]
yokwenza	ya[PossConc]-u[NPrePre]-ku[BPre]-enz[VRoot]-a[VerbTerm]
yokwenziwa	ya[PossConc]-u[NPrePre]-ku[BPre]-enz[VRoot]-iw[PassExt]-a[VerbTerm]
yolawulo	ya[PossConc]-u[NPrePre]-lawulo[NStem]
yoluntu	ya[PossConc]-u[NPrePre]-lu[BPre]-ntu[NStem]
yonke	yo[QuantConc]-nke[QuantStem]
yophuhliso	ya[PossConc]-u[NPrePre]-phuhliso[NStem]
z	z[Abbr]
zabantu	za[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
zabo	za[PossConc]-bo[PronStem]
zange	zange[AuxVStem]
zasekuhlaleni	za[PossConc]-s[PreLoc-s]-e[LocPre]-u[NPrePre]-ku[BPre]-hlal[VRoot]-a[VerbTerm]-ini[LocSuf]
zawo	za[PossConc]-wo[PronStem]
zebhunga	za[PossConc]-i[NPrePre]-bhunga[NStem]
zeewadi	za[PossConc]-i[NPrePre]-i[BPre]-wadi[NStem]
zengingqi	za[PossConc]-i[NPrePre]-n[BPre]-gingqi[NStem]
zeprojekthi	za[PossConc]-i[NPrePre]-projekthi[NStem]
zewadi	za[PossConc]-i[NPrePre]-wadi[NStem]
zikamasipala	zi[PossConc]-ka[PossKA]-masipala[NStem]
zikarhulumente	zi[PossConc]-ka[PossKA]-rhulumente[NStem]
zinika	zi[SC]-nik[VRoot]-a[VerbTerm]
ziya	zi[SC]-ya[Fut]
zokwenza	za[PossConc]-u[NPrePre]-ku[BPre]-enz[VRoot]-a[VerbTerm]
zolawulo	za[PossConc]-u[NPrePre]-lawulo[NStem]
zoluntu	za[PossConc]-u[NPrePre]-lu[BPre]-ntu[NStem]
zomsebenzi	za[PossConc]-u[NPrePre]-m[BPre]-sebenzi[NStem]
zonke	zo[QuantConc]-nke[QuantStem]
zophuhliso	za[PossConc]-u[NPrePre]-phuhliso[NStem]
zorhwebo	za[PossConc]-u[NPrePre]-rhwebo[NStem]
zungu	zungu[ProperName]
