!	![Punc]
"	"[Punc]
umasincedane	umasincedane[ProperName]
umasipala	umasipala[NStem]
umathabo	umathabo[ProperName]
umbiko	u[NPrePre]-m[BPre]-biko[NStem]
umgqugquzeli	umgqugquzeli[NStem]
umgudu	umgudu[NStem]
umhlalaphansi	umhlalaphansi[NStem]
umkhakha	u[NPrePre]-mu[BPre]-khakha[NStem]
umqeqeshi	umqeqeshi[ProperName]
umsebenzi	umsebenzi[NStem]
umshuwalense	umshuwalense[NStem]
umthethosisekelo	umthethosisekelo[ProperName]
umuntu	u[NPrePre]-mu[BPre]-ntu[NStem]
umzimvubu	umzimvubu[ProperName]
unhlangano	unhlangano[NStem]
unkk	unkk[Abbr]
usodolobha	usodolobha[NStem]
uthi	u[SC]-th[VRoot]-i[VerbTerm]
uthini	uthini[Interrog]
uwacwaninge	uwacwaninge[NStem]
vele	vele[Ideoph]
wabo	wa[PossConc]-bo[PronStem]
wadi	wadi[NStem]
wakhe	wa[PossConc]-khe[PronStem]
wakho	wa[PossConc]-kho[PronStem]
water	water[ProperName]
wawo	wa[PossConc]-wo[PronStem]
wekomidi	wa[PossConc]-i[NPrePre]-komidi[NStem]
wezinhlelo	wa[PossConc]-i[NPrePre]-zin[BPre]-hlelo[NStem]
wonke	wo[QuantConc]-nke[QuantStem]
working	working[Foreign]
works	works[Foreign]
wumbono	wumbono[NStem]
x	x[Abbr]
xaxa	xaxa[Ideoph]
yabo	ya[PossConc]-bo[PronStem]
yawo	ya[PossConc]-wo[PronStem]
yayo	ya[PossConc]-yo[PronStem]
ye-	ye[PossConc]
yikhona	yikhona[Conj]
yikuphi	yi[CopPre]-ku[BPre]-phi[Interrog]
yimaphi	yimaphi[Interrog]
yini	yini[Interrog]
yokwenza	ya[PossConc]-u[NPrePre]-ku[BPre]-enz[VRoot]-a[VerbTerm]
yomkhandlu	ya[PossConc]-u[NPrePre]-m[BPre]-khandlu[NStem]
yona	yona[AbsPron]
yonke	yo[QuantConc]-nke[QuantStem]
yurophu	yurophu[ProperName]
z	z[Abbr]
zabantu	za[PossConc]-a[NPrePre]-ba[BPre]-ntu[NStem]
zabo	za[PossConc]-bo[PronStem]
zawo	za[PossConc]-wo[PronStem]
zayo	za[PossConc]-yo[PronStem]
zazo	za[PossConc]-zo[PronStem]
zenziwe	zi[SC]-enz[VRoot]-iw[PassExt]-e[VerbTerm]
zethu	zethu[NStem]
zikhalazo	zikhalazo[NStem]
zimo	zi[BPre]-mo[NStem]
zinga	zinga[NStem]
zinhlelo	zin[BPre]-hlelo[NStem]
zokuziphilisa	za[PossConc]-u[NPrePre]-ku[BPre]-zi[ReflPre]-phil[VRoot]-is[CausExt]-a[VerbTerm]
zokwenza	za[PossConc]-u[NPrePre]-ku[BPre]-enz[VRoot]-a[VerbTerm]
zona	zona[AbsPron]
zonke	zo[QuantConc]-nke[QuantStem]
zungu	zungu[ProperName]
